query,rank,score,relevance,reason,title,administration,agencies_affected,subject_matter,source_path,snippet
border wall funding,1,17.045527,1,"Border security budget item (E‑Verify funding), not specifically border wall funding.",President Trump proposes cutting funding to E-Verify program,,"[""U.S. Citizenship and Immigration Services""]","[""Employment Verification""]",data/sample_100/policies/549__president-trump-proposes-cutting-funding-to-e-verify-program/documents/new-policy__1279__border-security-2020-budget-fact-sheet__bfe3e4e0a7.pdf,"*********************************** Border Security and Immigration Enforcement Funding by Year: FYs 2014 - 2020 ($ billions) 2014 2015 2016 2017 2018 2019 2020 PB CBP $10.6 $10.9 $11.2 $12.1 $14.0 $15.0 $18.2 ICE $5.3 $6.0 $5.8 $6.4 $7.1 $7.6 $8.8 EOIR $0.3 $0.3 $0.4 $0.4 $0.5 $0.6 $0.7 UAC $0.9 $0.9 $0.9 $1.2 $1.3 $1.3 $1.3 DOD - - - - - - $3.6 Total $17.1 $18.1 $18.3 $20.1 $22.9 $24.5 $32.6 Department of Homeland Security. Overall 2020 funding for U.S. Customs and Border Protection (CBP) ($18.2 billion) and U.S. Immigration and Customs Enforcement (ICE) ($8.8 billion) is 19 percent higher than the FY 2019 level. The Budget proposes sizable investments in a border wall; border security technology and equipment; funding to hire additional CBP and ICE law enforcement officers; and increased capacity to detain and deport illegal aliens. • The Budget requests $5.4 billion in high priority investments in border security technology, infrastructure, and equipment to help CBP prevent, detec…"
border wall funding,2,15.366417,0,"OMB pause of grants/loans, not border wall funding.","OMB temporarily pauses agency grant, loan, and financial assistance programs",,"[""Unspecified/Other""]",,data/sample_100/policies/1505__omb-temporarily-pauses-agency-grant-loan-and-financial-assistance-programs/documents/subsequent-action__5597__nan__bf29986688.pdf,"The potential $3 trillion in financial assistance implicated by the freeze is a “breathtakingly large sum of money to suspend practically overnight.” ECF No. 30, at 24. And “[r]ather than taking a measured approach to identify purportedly wasteful spending, Defendants cut the fuel supply to a vast, complicated, nationwide machine—seemingly without any consideration for the consequences of that decision.” Id. Doing so was not—and could never be—rational, especially when the decision was made without grappling with its catastrophic effects or the logistical nightmare of its implementation.10 See Bus. Roundtable v. Sec. & Exch. Comm’n, 647 F.3d 1144, 1148 (D.C. Cir. 2011) (explaining that an agency’s failure to “apprise itself . . . of the economic consequences” of potential action is “arbitrary and capricious and not in accordance with law” (quoting Chamber of Com. of the U.S. v. Sec. & Exch. Comm’n, 412 F.3d 133, 144 (D.C. 10 Both Defendants and Amicus argue that “[t]emporary funding p…"
border wall funding,3,13.019142,3,Directly references budget proposal including border wall funding.,White House FY2020 Budget Proposal includes $8.6 billion in border wall funding,,"[""Customs and Border Protection"", ""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Border"", ""Interior""]",data/sample_100/policies/379__white-house-releases-fy2020-budget-proposal/documents/biden-administration-policy__3466__nan__4efa2586db.pdf,"The President’s 2022 discretionary request provides $52.0 billion for DHS, approximately equal to the 2021 enacted level. It:  Invests in Effective and Modern Border Security. The discretionary request provides about $1.2 billion for border infrastructure which includes: modernization of land ports of entry; investments in modern border security technology and assets; and efforts to ensure the safe and humane treatment of migrants in CBP custody. These investments would facilitate more robust and effective security screening to guard against human smuggling and trafficking, the movement of illicit drugs and weapons, the entry of undocumented migrants, and the import of unlawful goods, as well as provide for the more efficient processing of legal trade, travel, and commerce through the Nation’s Land Ports of Entry. The discretionary request includes no additional funding for border wall construction and proposes the cancellation of prior-year balances that are unobligated at the end o…"
border wall funding,4,6.692991,0,"MPP policy, not border wall funding.","EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/prior-policy__4894__nan__4ba9c1d5c8.pdf,"Prior to doing so, however, the Department ensured that these individuals received COVID-19 tests before crossing the border and entering the United States. The Department also worked in close partnership with nongovernmental organizations and local officials in border communities to connect migrants with short-term supports that facilitated their onward movement to final destinations away from the border. 100 The district court faulted the Secretary for not taking into account alleged warnings to members of the BidenHarris transition team by career DHS officials that terminating MPP would cause a spike in border encounters. Texas, 2021 WL 3603341, at *7. The Department is unaware of any such specific conversations, yet is aware of, and has taken into account, similar concerns raised by others. 101 See Texas, 2021 WL 3603341, at *9-10. 102 First Amended Complaint at 2, 38-39, Texas v. Biden, No. 2:21-cv-67 (N.D. Tex. filed June 3, 2021); see also Complaint, West Virginia v. Biden, No.…"
border wall funding,5,6.331633,0,"Census citizenship question case, not border wall funding.",Commerce Department announces addition of citizenship question to 2020 Census,,"[""Unspecified/Other"", ""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/791__commerce-department-announces-addition-of-citizenship-question-to-2020-us-census/documents/subsequent-action__1779__20190627-department-of-commerce-v-new-york__6f3e8fd33c.pdf,"Moriarity, 106 F. 886, 891 (CC SDNY 1901) (duty to take a census of population “does not prohibit the gathering of other statistics, if ‘necessary and proper,’ for the intelligent exercise of other powers enumerated in the constitution”). While we have never faced the question directly, we have assumed that Congress has the power to use the census for information-gathering purposes, see Legal Tender Cases, 12 Wall. 457, 536 (1871), and we have recognized the role of the census as a “linchpin of the federal statistical system by collecting data on the characteristics of individuals, households, and housing units throughout the country,” Department of Commerce v. Cite as: 588 U. S. ____ (2019) 13 Opinion of the Court United States House of Representatives, 525 U. S. 316, 341 (1999) (internal quotation marks omitted). That history matters. Here, as in other areas, our interpretation of the Constitution is guided by a Government practice that “has been open, widespread, and unchallenged s…"
refugee resettlement,1,9.539802,0,"OMB pause of grants/loans, not refugee resettlement policy.","OMB temporarily pauses agency grant, loan, and financial assistance programs",,"[""Unspecified/Other""]",,data/sample_100/policies/1505__omb-temporarily-pauses-agency-grant-loan-and-financial-assistance-programs/documents/subsequent-action__5962__nan__846294e3e1.pdf,"114. HHS’s unilateral executive action to withhold or freeze funds appropriated by Congress for the refugee resettlement programs thus unconstitutionally infringes on Congress’s spending and appropriations powers. 115. Because HHS has arbitrarily and capriciously refused to provide the refugee resettlement program federal grants—effectively terminating the programs—the County is entitled to the declaratory and injunctive relief sought here. Case 1:25-cv-01058 Document 1 Filed 04/08/25 Page 29 of 33 30 PRAYER FOR RELIEF WHEREFORE, Plaintiff Harris County prays that this Court: 1. Declare that HHS’s sub silentio cancellation of congressional appropriations for the refugee resettlement programs, as applied to the County, is contrary to law under the APA; 2. Declare that HHS’s sub silentio cancellation of congressional appropriations for the refugee resettlement programs , as applied to the County, is arbitrary and capricious under the APA; 3. Declare that HHS’s sub silentio cancellation …"
refugee resettlement,2,9.281542,3,Directly about State Department action affecting refugee resettlement agencies.,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]",data/sample_100/policies/1450__report-tump-memo-bars-resettlement-agencies-from-providing-services-to-refugees-/documents/subsequent-action__5340__nan__47540f811e.pdf,"The Act also denies the Executive Case 1:25-cv-00465 Document 1 Filed 02/18/25 Page 13 of 35 14 Branch any authority to defer spending except for three specified reasons; it forbids deferrals based on policy disagreements with Congress. Id. § 684(b). III. USCCB’s Refugee-Resettlement Program And Cooperative Agreements 37. Each year since the enactment of the Refugee Act of 1980, USCCB has entered into agreements with the federal government to provide initial-resettlement services for refugees. USCCB receives and coordinates the distribution of PRM awards for initial resettlement through its Migration & Refugee Service. USCCB partners with subrecipients, most of whom are local Catholic Charities, across the United States to accomplish this work. These partners are strategically chosen in concert with the State Department and state refugee coordinators to achieve goals such as partnering with subrecipients in locations that will facilitate family reunification efforts. 38. Today, USCCB …"
refugee resettlement,3,9.088203,3,Directly about grant-making authority for initial refugee resettlement grants.,President Trump transfers grant-making authority for initial resettlement grants and contracts from DOS to ORR,,"[""Unspecified/Other"", ""Unspecified/Other""]","[""Refugees""]",data/sample_100/policies/2105__office-of-refugee-resettlement-transfers-from-dos-to-hhs/documents/new-policy__7886__nan__0589ac96bd.pdf,"Presidential Documents 49007 Federal Register / Vol. 90, No. 209 / Friday, October 31, 2025 / Presidential Documents Presidential Determination No. 2025–14 of September 30, 2025 Presidential Determination on Transferring the United States Program of Initial Refugee Resettlement Memorandum for the Secretary of State [and] the Secretary of Health and Human Services By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 412(b)(1) of the Immigration and Nationality Act (8 U.S.C. 1522(b)(1)), it is hereby ordered: Refugee resettlement must be conducted in a manner that serves the national interest, promotes efficient use of taxpayer dollars, protects the integrity of the United States immigration system, and supports refugees in achieving early economic self-sufficiency and assimilation into American society. Centralizing the responsibilities for all domestic resettlement under one executive department or agency (agenc…"
refugee resettlement,4,7.828199,2,Foreign Affairs Manual update on referrals for refugee status; relevant but narrower.,Foreign Affairs Manual section on Referrals for Refugee Status updated to remove references to transgender and intersex individuals,,"[""Unspecified/Other""]",,data/sample_100/policies/1608__foreign-affairs-manual-seciton-on-referrals-for-refugee-status-updated-to-remove/documents/new-policy__5593__nan__16df7bd753.pdf,"UNCLASSIFIED (U) 9 FAM 203.4 REFERRALS FOR REFUGEE STATUS (CT:VISA-2131; 02-26-2025) (Office of Origin: CA/VO) 9 FAM 203.4-1 REQUESTS FOR REFUGEE OR ASYLUM, REFERRALS OVERVIEW (CT:VISA-1995; 05-29-2024) a. Priority 1 (P-1) refugee cases include all cases individually identified and referred to the U.S. Refugee Admissions Program (USRAP) by the United Nations High Commissioner for Refugees (UNHCR), a U.S. embassy (see 9 FAM 203.4-2), or a non-governmental organization (see paragraph d below). b. In most instances, persons potentially in need of protection are served by UNHCR, which has an international mandate for refugee protection, and which may refer the individuals for third country resettlement. c. Requests at U.S. Missions: Individuals seeking temporary refuge or asylum in the United States sometimes approach diplomatic missions directly. (1) If someone approaches U.S. Government agency representatives seeking such assistance, missions should see the guidance in: (a) 2 FAM 227, R…"
refugee resettlement,5,7.797735,0,"ORR custodial release policy for minors, not refugee resettlement.",ORR requires Director-level authorization of custodial releases of certain unaccompanied children,,"[""Office of Refugee Resettlement""]","[""Detention"", ""Interior"", ""Minors""]",data/sample_100/policies/1342__orr-implements-policy-requiring-director-review-of-releases-of-unaccompanied-chi/documents/subsequent-action__4464__nan__d756a11ab3.pdf,"UNITED STATES DISTRICT COURT SOUTHERN DISTRICT OF NEW YORK L.V.M., a minor, by and through his next friend EDITH ESMERALDA MEJIA DE GALINDO, on his own behalf and on behalf of others similarly situated, Plaintiffs/Petitioners, v. ROBIN DUNN MARCOS, Director, Office of Refugee Resettlement; ALLISON BLAKE, Director, Unaccompanied Children Program, Office of Refugee Resettlement; JEFF HILD, Acting Assistant Secretary for the Administration for Children and Families, U.S. Department of Health and Human Services; XAVIER BECERRA, Secretary, U.S. Depaitment of Health and Human Services, Defendants/Respondents. 1 ""[PROPOSI©t-ORDER AND FINAL JUDGMENT Case No. I: 18-cv-01453(PAC) This matter is before the Com1 on the Petitioners' motion for final approval of their class action settlement (the ""Motion""). The Court, having granted the Petitioners' motion for preliminary approval on September 5, 2023 (""Preliminary Approval Order""), ECF No. 165, and having held a fairness hearing on December 11, 20…"
public charge rule,1,15.393568,3,Directly about USCIS final rule on public charge inadmissibility.,USCIS issues final rule on public charge inadmissibility grounds,,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other""]",data/sample_100/policies/766__uscis-issues-final-rule-on-public-charge-inadmissibility-grounds/documents/biden-administration-policy__3415__nan__2190fd68a6.pdf,"Public Charge USCIS is no longer applying the August 2019 Public Charge Final Rule. As a consequence, among other changes, USCIS will apply the public charge inadmissibility statute consistent with the 1999 Interim Field Guidance. In other words, USCIS is not considering an applicant’s receipt of Medicaid (except for long-term institutionalization at the government’s expense), public housing, or Supplemental Nutrition Assistance Program (SNAP) benefits as part of the public charge inadmissibility determination. Background On Nov. 2, 2020, the U.S. District Court for the Northern District of Illinois vacated the Inadmissibility on Public Charge Grounds final rule (84 Fed. Reg. 41,292 (Aug. 14, 2019)), as amended by Inadmissibility on Public Charge Grounds; Correction, 84 Fed. Reg. 52,357 (Oct. 2, 2019) (Public Charge Final Rule) nationwide. That decision was stayed by the U.S. Court of Appeals for the Seventh Circuit. On March 9, 2021, the Seventh Circuit lifted its stay and the U.S. D…"
public charge rule,2,6.558545,0,"AG decision on criminal-conviction effects, not public charge.","AG Barr issues Matter of Thomas and Thompson, ruling on the immigration effect of modified criminal convictions",,"[""Attorney General"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]",data/sample_100/policies/222__attorney-general-decides-matter-of-thomas-thompson/documents/new-policy__567__matter-of-thomas-and-thompson-27-in-dec-674-ag-2019__5d684b97f5.pdf,"There, the Board established a rule that “a conviction will be found for immigration purposes” where: (1) a judge or jury has found the alien guilty or he has entered a plea of guilty or nolo contendere or has admitted sufficient facts to warrant a finding of guilty; (2) the judge has ordered some form of punishment, penalty, or restraint on the person’s liberty to be imposed (including but not limited to incarceration, probation, a fine or restitution, or community-based sanctions such as a rehabilitation program, a work-release or study- release program, revocation or suspension of a driver’s license, deprivation of nonessential activities or privileges, or community service); and (3) a judgment or adjudication of guilt may be entered if the person violates the terms of his probation or fails to comply with the requirements of the court’s order, without availability of further proceedings regarding the person’s guilt or innocence of the original charge. Id. at 551–52. Under Ozkok’s …"
public charge rule,3,6.358944,0,"General USCIS discretion guidance, not public charge rule.",USCIS updates policy on applying discretion in adjudications,,,,data/sample_100/policies/1142__uscis-updates-policy-applying-discretion-adjudications/documents/new-policy__2788__nan__0b6c1bb6fe.pdf,"[^ 60] For definitions of public safety and national security concerns, see Updated Guidance for the Referral of Cases and Issuance of Notices to Appear (NTAs) in Cases Involving Inadmissible and Deportable Aliens (PDF), PM-602-0050.1, issued June 28, 2018. [^ 61] The oﬀicer should not go behind the record of conviction to reassess an alien’s ultimate guilt or innocence, but rather inquire into the circumstances surrounding the commission of the crime in order to determine whether a favorable exercise of discretion is warranted. See Matter of Edwards (PDF), 20 I&N Dec. 191, 197 (BIA 1990). [^ 62] USCIS considers findings of juvenile delinquency on a case-by-case basis, based on the totality of the evidence, to determine whether a favorable exercise of discretion is warranted. Therefore, an adjustment applicant must disclose all arrests and charges. If any arrest or charge was disposed of as a matter of juvenile delinquency, the applicant must include the court or other public record t…"
public charge rule,4,6.267501,0,"Asylum cooperative agreements rule, not public charge.",DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Asylum, Withholding and CAT"", ""Unspecified/Other""]",data/sample_100/policies/1985__homeland-security-secretary-noem-ratifies-interim-final-rule-pertaining-to-asylu/documents/subsequent-action__7288__nan__22cb73eb35.pdf,"§ 706(2)(A). FOURTH CLAIM FOR RELIEF (Challenge to the Rule and Guidance) (Violation of the Safe Third Country Statute, 8 U.S.C. § 1158(a)(2)(A), and the APA, 5 U.S.C. § 706(2)(A)) 146. The safe third country provision contains an exception applicable if “the Attorney General finds that it is in the public interest for the [noncitizen] to receive asylum in the United States.” 8 U.S.C. § 1158(a)(2)(A). With respect to regular removal proceedings in immigration court, the term “the Attorney General” as used in the statute refers to immigration judges. 147. The Rule and Guidance erroneously provide that immigration judges lack this authority and that only DHS can make the public interest determination. 148. The Rule and Guidance therefore violate 8 U.S.C. § 1158(a)(2)(A) and are contrary to law under the APA, 5 U.S.C. § 706(2)(A). FIFTH CLAIM FOR RELIEF (Challenge to the Rule and Guidance) (Violation of 8 U.S.C. § 1231(b)(3), and its implementing regulations; FARRA, codified at 8 U.S.C. …"
public charge rule,5,6.111598,0,"EOIR Liberian adjustment guidance, not public charge.",EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA,,"[""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]",data/sample_100/policies/232__eoir-issues-guidance-on-adjustment-of-status-eligibility-for-certain-liberian-na/documents/new-policy__593__section-7611-of-the-national-defense-authorization-act-of-2020-public-law-116-92__61c70d506e.pdf,"Liberian nationals who have been continuously physically present in the United States since November 20, 2014, through the date when the alien submits an application; and 2. spouses, children, and unmarried sons or daughters of such Liberian nationals (i.e. those who have the requisite continuous physical presence). NDAA § 761 l(c)(l). For purposes of establishing the relevant period of continuous physical presence, an alien shall not be considered to have failed to maintain continuous physical presence based on one or more 1 absences from the United States for one or more periods amounting, in the aggregate, of not more than 180 days. Id.§ 761 l(c)(2). Under the new program, the Secretary shall adjust the status of an eligible alien to that of an alien lawfully admitted for permanent residence who: 1. applies to the Department of Homeland Security (DHS) for adjustment of status not later than one year following the enactment of the NDAA (i.e. no later than December 20, 2020); 2. is o…"
