label,label_reason,query,rank,rrf_score,title,agencies_affected,subject_matter,full_chunk_text
,,policy shifts in administrative closure authority EOIR and Attorney General decisions,4,0.030310,"OMB temporarily pauses agency grant, loan, and financial assistance programs","[""Unspecified/Other""]",[],"53. Defendant United States Department of Justice is an independent agency within the executive branch of the United States government. 28 U.S.C. § 501. 54. Defendant James R. McHenry III is the Acting Attorney General for the United States Department of Justice, and that agency’s highest ranking official. He is charged with the supervision and management of all decisions and actions of that agency. He is sued in his official capacity. 28 U.S.C. § 503, https://www.whitehouse.gov/presidential-actions/2025/01/designationof-acting-leaders/. Case 1:25-cv-00039 Document 1 Filed 01/28/25 Page 11 of 44 PageID #: 11 12 55. Defendant the National Science Foundation is an independent agency within the executive branch of the United States government. 56. Defendant Dr. Sethuraman Panchanathan is the Director of the National Science Foundation, and that agency’s highest ranking official. He is charged with the supervision and management of all decisions and actions of that agency. He is sued in his official capacity. ALLEGATIONS A. Background i. Executive Orders 57. On January 20, 2025, and in the days following, President Trump issued a series of executive orders announcing widespread policy changes and indicating, in a non-specific and unclear manner, that a number of funding commitments to various federal funding recipients would be rescinded. The OMB Directive purports to implement these executive orders. None of these orders lawfully or reasonably provides authority for the OMB Directive’s disruption of all federal financial assistance, nor could they."
,,policy shifts in administrative closure authority EOIR and Attorney General decisions,5,0.029412,"AG Bondi issues Matter of S-S-F-M-, restricting asylum claims based on domestic violence","[""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Attorney General"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT"", ""Unspecified/Other""]","2021). A-B- II, moreover, explained that A-B- I “reiterated and did not change the legal standard for determining when ‘persecution’ by third parties may be attributed to the government.” See 28 I&N Dec. at 213; see also id. at 202 (“No matter whether Matter of A-B- is viewed as changing the existing standard for persecution, I conclude . . . that Matter of A-B-’s formulation appropriately clarifies the requisite governmental role in relation to persecution by private actors for purposes of establishing refugee status.”). A-B- II then clarified the application of that standard. See id. at 203–07. If anything, it is Attorney General Garland’s decision to vacate that clarification without replacing it with anything himself that has contributed to confusion over the applicable standards in this field. Third, A-B- III was wrong to suggest that the issues addressed in A-B- I and A-B- II are best left to rulemaking. “[W]hether A-B- I had changed the ‘unable or unwilling’ standard, the proper application of that standard, and the meaning of the statutory ‘one central reason’ test,” A-B- III, 28 I&N Dec. at 309, are legal questions appropriately resolved as part of the Attorney General’s authority to issue “controlling” decisions “with respect to all questions of law” “relating to the immigration and naturalization of aliens,” 8 U.S.C. § 1103(a)(1). And as Attorney General Barr explained in a different opinion that I am reinstituting as precedent today, what constitutes a cognizable social group is “defined with sufficient particularity and is socially distinct in [an applicant’s] society” is inherently a “fact-based"
,,USCIS deference policy to prior approvals H1B adjudications changes,1,0.032787,USCIS updates policy on applying discretion in adjudications,[],[],"U.S. Department of Homeland Security U.S. Citizenship and Immigration Services Office of the Director (MS 2000) Washington, DC 20529-2000 U.S. Citizenship and Immigration Services www.uscis.gov July 15, 2020 PA-2020-10 Policy Alert SUBJECT: Applying Discretion in USCIS Adjudications Purpose U.S. Citizenship and Immigration Services (USCIS) is consolidating existing policy guidance in the USCIS Policy Manual regarding officers’ application of discretion in adjudications. Background On June 22, 2020, the President issued a Proclamation that addresses, among other things, the Department of Homeland Security’s (DHS’s) administration of employment authorization benefits.1 In addition to relying on statutory and regulatory provisions on employment authorization, USCIS reminds officers to refer to existing guidance, now consolidated in the USCIS Policy Manual, on the exercise of discretion in adjudications. For many immigration benefits, such as certain applications for lawful permanent residence and employment authorization documents, the benefit requestor has the burden of demonstrating eligibility for the benefit sought, including that a favorable exercise of discretion is warranted.2 If the requestor otherwise establishes eligibility, which may require a showing that the alien is not inadmissible under the law, and positive discretionary factors present in the particular case outweigh any negative factors, USCIS should favorably exercise discretion. For benefits involving discretion, a discretionary analysis is a separate component of the adjudication of the benefit request; it is typically assessed at the end of the review, after an officer has determined that the requestor meets all other applicable eligibility requirements.3 This guidance, contained in Volumes 1 and 10 of the Policy Manual, incorporates and replaces Chapter 10.15 of the Adjudicator’s Field Manual (AFM), as well as the AFM’s related appendices, and related policy memoranda.4 The guidance contained in the Policy Manual is controlling and supersedes any related prior guidance on the topic."
,,USCIS deference policy to prior approvals H1B adjudications changes,2,0.031025,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","And the Davidson Memorandum stated that the “pause” on benefits adjudications would remain in place at least until “USCIS completes a comprehensive review and evaluation of the in-country population of aliens who are or were paroled into the United States under these categorical parole programs[.]” Davidson Memorandum 3 [Doc. No. 41-3]. Nothing in the Davidson Memorandum, or the executive orders cited therein, explains the agency’s decision to suspend benefits adjudications for any individual who received parole through one of the relevant programs until every single such person has been screened and vetted. Nor did the Davidson Memorandum even consider the reasonable alternative of performing screening and vetting, through application of a “uniform baseline,” as part of the adjudication of an application for immigration benefits, rather than pausing adjudications altogether for vetting to be performed separately. Beyond the inadequate justification for the indefinite suspension of all applications, the Davidson Memorandum gave no consideration of the reliance interests of individuals already present in the United States seeking immigration benefits. While such reliance interests of course 38 To be certain, the purported evidence of fraud in the Davidson Memorandum lacked specificity and, arguably, relevance to the agency action taken. The Memorandum’s details and numbers of incidents regarding fraud primarily concerned supporters, and no details or numbers were included as to the “instances identified where certain beneficiaries were not fully vetted by CBP and were the subject of national security or public safety information that was not properly assessed prior to parole by CBP.” See Davidson Memorandum 2 [Doc."
,,USCIS deference policy to prior approvals H1B adjudications changes,3,0.031010,Asylum seekers given less time to prepare for credible fear interviews,"[""U.S. Citizenship and Immigration Services""]","[""Asylum, Withholding and CAT""]","17-2 at 12 (Johnson Decl., Ex. 1 at D-1). That same day, acting Secretary McAleenan also revised USCIS’s order of succession, designating the newly created position of Principal Deputy Director as “the First Assistant and most senior successor to the Director of USCIS.” Dkt. 17-4 at 7 (Blackwell Decl., Ex. 2). These two changes—both of which occurred after the vacancy arose—allowed Cuccinelli to leapfrog Koumans to become USCIS’s acting Director. But neither of these changes was designed to endure. Acting Secretary McAleenan specified that Cuccinelli’s appointment as Principal Deputy Director “will remain in effect until the earlier to occur of (1) the appointment of a Director of USCIS by the President of the United States, or (2) the express revocation of this appointment.” Id. at 5 (Blackwell Decl., Ex. 1). And acting Secretary McAleenan specified that the revised order of succession, which re-designated the Principal Deputy Director position as the “first assistant” to the Director, “will terminate automatically, without further action, upon the appointment of a new Director of USCIS by the President.” Id. at 7 (Blackwell Decl., Ex.2). In other words, as soon as the vacant office is filled, the status quo will be restored. On July 2, 2019, three weeks after assuming his new office, Cuccinelli issued a memorandum announcing a revised policy for scheduling credible-fear interviews in expedited removal proceedings. AR 113. Under the revised policy, USCIS (1) reduced the time allotted for asylum seekers to consult with others prior to their credible-fear interviews from 72 or 48 hours to “one full calendar day from the date of arrival at a detention facility,” AR 113 (“reduced-time-to-consult directive”), and (2) prohibited asylum officers from granting asylum Case 1:19-cv-02676-RDM Document 34 Filed 03/01/20 Page 3 of 55"
,,USCIS deference policy to prior approvals H1B adjudications changes,4,0.030835,"USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)","[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other""]","1 TABLE OF CHANGES – FORM Form G-325A, Biographic Information (for Deferred Action) OMB Number: 1615-0008 05/15/2025 Reason for Revision: REV Project Phase: 60-Day Legend for Proposed Text: • Black font = Current text • Red font = Changes Expires xx/xx/2029 (10/30/2027) Edition Date xx/xx/2026 (01/20/2025) Current Page Number and Section Current Text Proposed Text Pages 1-3, Part 1. Information About You [Page 1] … 5. Sex Male Female [new] 6. USCIS Online Account Number (if any) 7. Alien Registration Number (A-Number) (if any) 8. All Other Names Used (include names by previous marriages) NOTE: Provide all other names you have ever used, including family name at birth, other legal names, nicknames, aliases, and assumed names. If extra space is needed to complete this section, use the space provided in Part 8. Additional Information. 9. City or Town of Birth 10. Country of Birth 11. Country of Citizenship or Nationality [Page 2] Your Prior Residences 12. Please list your previous addresses for the last five years excluding your current physical address. [Table 4 entries] Street Name and Number City [Page 1] … 5. Sex Male Female 6. U.S. Social Security Number (SSN) (if any) 7. USCIS Online Account Number (if any) 8. Alien Registration Number (A-Number) (if any) 9. All Other Names Used (include names by previous marriages) NOTE: Provide all other names you have ever used, including family name at birth, other legal names, nicknames, aliases, and assumed names. If extra space is needed to complete this section, use the space provided in Part 6."
,,USCIS deference policy to prior approvals H1B adjudications changes,5,0.029958,USCIS issues final rule on public charge inadmissibility grounds,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other""]","Additional information about the public charge ground of inadmissibility also remains available on the USCIS Public Charge Resources webpage. This guidance, contained in Volume 8 of the Policy Manual, is controlling and supersedes any related prior guidance on the topic. Policy Highlights • Incorporates information from the related appendices addressing applicability of the public charge ground of inadmissibility to help applicants for adjustment of status more easily identify the immigration categories to which the public charge ground of inadmissibility applies. Summary of Changes Affected Section: Volume 8 > Part G > Chapter 3 > Section B, Applicants for Adjustment of Status 1 The related appendices remain unchanged. To provide feedback on this update, email USCIS at policyfeedback@uscis.dhs.gov. PA-2023-20: Incorporating Guidance on Applicability of the Public Charge Ground of Inadmissibility Page: 2 • Revises section in its entirety, to include the addition of various tables listing the categories of adjustment of status applicants subject to the public charge ground of inadmissibility. USCIS may also make other minor technical, stylistic, and conforming changes consistent with this update. Citation Volume 8: Admissibility, Part G, Public Charge Ground of Inadmissibility, Chapter 3, Applicability [8 USCIS-PM G.3]."
,,evolution of SIJS eligibility interpretations and state court dependency requirements,1,0.032522,HHS issues notice excluding undocumented immigrants from additional federal benefits,"[""Unspecified/Other""]","[""Unspecified/Other""]","PRWORA is limited to programs with “eligibility units”; Defendants now say it applies to programs Congress wanted to be open to all. PRWORA governs access to “benefits”; Defendants now claim it applies to “programs” in their entirety, even where many of their benefits fall outside the statute. These new interpretations are not “unambiguously” correct; they are quite simply wrong. 10. The Constitution itself also forbids Defendants’ effort to reimagine PRWORA. Plaintiff States accepted federal funding for dozens of programs against the backdrop of Defendants’ settled interpretation of this statute. The Spending Clause does not permit Defendants to dramatically change that bargain and “surpris[e]” the States with “post acceptance,” “retroactive” conditions in the middle of their grant terms. Pennhurst State Sch. & Hosp. v. Halderman, 451 U.S. 1, 25 (1981). Nor may Defendants coerce states into restricting critical community programs—particularly in areas of traditional state power like public health and safety—or else face the loss of billions of dollars in federal funding. 11. Three of the notices are also inconsistent with the requirements of the Administrative Procedure Act. HHS, ED, and DOL failed to follow the requisite notice-andcomment procedures before announcing major, substantive changes to the way they implement PRWORA that would take effect immediately. Their explanations also lack the basic elements of reasoned decision-making: Defendants did not consider the massive reliance that had built up around their settled interpretations, nor even explain why they deemed many programs newly within PRWORA’s scope."
,,evolution of SIJS eligibility interpretations and state court dependency requirements,2,0.031754,"DOJ sues Illinois over ""Right to Privacy in the Workplace Act"" amendments","[""Unspecified/Other""]","[""Employment Verification""]","art. VI, cl. 2. 52. Express preemption occurs when Congress, through statutory language, explicitly supersedes all state enactments in a particular area. P. Gas and Elec. Co. v. State Energy Resources Conserv. & Develop. Comm’n, 461 U.S. 190, 203–04 (1983). 53. Implied “field preemption” occurs when a “scheme of federal regulation [is] so pervasive as to make reasonable the inference that Congress left no room to supplement it,” or where the “federal interest is so dominant that the federal system will be assumed to preclude enforcement of state laws on the same subject.” Rice v. Santa Fe Elevator Corp., 331 U.S. 218, 230 (1947). 54. Conflicts can also arise when a state law forms an “obstacle to the accomplishment and execution of the full purposes and objectives of Congress.” Hines, 312 U.S. at 67. 55. The goals of the INA’s employment eligibility verification provisions are clear— to compel employers to verify employment eligibility and encourage the use of E-Verify to help ensure that all aliens who are working in the United States are authorized to do so. 56. By imposing confusing rules during the employment verification process and threatening employers with penalties if they do not comply, SB0508 discourages and obfuscates the use of E-Verify and Form I-9 inspection requirements. Specifically, SB0508 imposes additional notification requirements on employers (at times delineating the time, place, and way notification must be provided) and prohibitions that go beyond federal law."
,,evolution of SIJS eligibility interpretations and state court dependency requirements,3,0.030769,"AG Barr issues Matter of Thomas and Thompson, ruling on the immigration effect of modified criminal convictions","[""Attorney General"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]","Holder, 595 F.3d 549, 556 (4th Cir. 2010) (“[I]t is a basic principle of administrative law that ‘the choice made between proceeding by general rule or by individual, ad hoc litigation is one that lies primarily in the informed discretion of the administrative agency.’” (quoting SEC v. Chenery Corp., 332 U.S. 194, 203 (1947)). Indeed, in the decades since Bell Aerospace, the Supreme Court “has not even suggested that a court can constrain an agency’s choice between rulemaking and adjudication.’” Velasco-Giron, 773 F.3d at 779 (emphasis added) (quoting Richard J. Pierce, Jr., I Administrative Law Treatise § 6.9 at 510 (5th ed. 2010)). And agencies retain their discretion even when announcing interpretations that may conflict with prior decisions. See Chisholm v. F.C.C., 538 F.2d 349, 364 (D.C. Cir. 1976) (“[A]n administrative agency is permitted to change its interpretation of a statute, especially where the prior interpretation is based on error, no matter how longstanding.”); see also id. at 365 (“The original interpretation of the [statute] was . . . established by adjudication; thus reversal by adjudication seems particularly appropriate here.”). I accordingly conclude that it is appropriate to address these Board precedents in the context of an administrative adjudication, and there is no legal requirement to do so by regulation. C. Finally, although I did not request briefing on the subject, the parties to this case have addressed which side should carry the burden of proof when it comes to establishing the state court’s reason for altering a sentence under the Pickering test."
