query,rank,score,chunk_id,entry_id,attachment_id,page_start,page_end,title,administration,agencies_affected,subject_matter,source_path,matched_attachment_ids,matched_doc_ids,matched_chunk_ids,matched_count,best_rank,snippet
border wall funding,1,0.844263,379_ttl_h28f035dad123a0e8,379,,,,White House FY2020 Budget Proposal includes $8.6 billion in border wall funding,,"[""Customs and Border Protection"", ""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Border"", ""Interior""]",,"[""3466""]","[""379"", ""3466""]","[""379_sum_hc5c235d84b327609"", ""379_ttl_h28f035dad123a0e8"", ""379_pdf_3466_p0032-p0033_ha580fc9715eb1749"", ""379_pdf_3466_p0039-p0040_h5aca3712fc8c8aac"", ""379_pdf_3466_p0035-p0035_h6ee37599e7a9851f"", ""379_pdf_3466_p0038-p0038_hb28b66975c1e9849"", ""379_pdf_3466_p0012-p0013_hcc48c90f97c6fe5d"", ""379_pdf_3466_p0032-p0032_h34453e55c2d55bba"", ""379_pdf_3466_p0038-p0039_hc71c285baefec4ba"", ""379_pdf_3466_p0005-p0005_h0a61e3c14cbdf50d"", ""379_pdf_3466_p0002-p0003_h3443faece0ac1c2a"", ""379_pdf_3466_p0025-p0025_h2d6964c11d2e734c"", ""379_pdf_3466_p0033-p0033_h084680331e02bc90"", ""379_pdf_3466_p0058-p0058_h7d0daf88d7658dfb""]",14,1,"President Trump requests $8.6 billion in border wall funding as part of the fiscal year 2020 budget proposal. CBP's budget would increase by 22% and additional provisions of the budget proposal include creation of a new “Border Security and Immigration Enforcement Fund.” Trump's budget proposes increases in immigration filing fees and worksite enforcement penalties as well as financing from “mandatory receipts,” which could refer to visa application fees, customs fees and other sources of revenue, and tax dollars appropriated for other purposes. [ID #379]"
border wall funding,2,0.795547,549_pdf_1279_p0001-p0002_h22ea5a7d0b245fc1,549,1279,1,2,President Trump proposes cutting funding to E-Verify program,,"[""U.S. Citizenship and Immigration Services""]","[""Employment Verification""]",data/sample_100/policies/549__president-trump-proposes-cutting-funding-to-e-verify-program/documents/new-policy__1279__border-security-2020-budget-fact-sheet__bfe3e4e0a7.pdf,"[""1279""]","[""1279"", ""549""]","[""549_pdf_1279_p0001-p0002_h22ea5a7d0b245fc1"", ""549_pdf_1279_p0002-p0002_h08ffdc7bba46e59b"", ""549_pdf_1279_p0001-p0001_h43d24d57a641b5e3"", ""549_pdf_1279_p0003-p0003_hf63289d7da2b8407"", ""549_pdf_1279_p0002-p0003_h36ec26bcd0563c0a"", ""549_sum_h0922a1ad5e02fdc2""]",6,3,"President Trump's FY2020 budget proposes an 8 percent funding cut to the E-Verify program. The Trump administration requests only $122 million in fiscal year 2020, compared to $133 million in fiscal years 2019 and 2018. USCIS states that a higher funding level is no longer needed because of technological modernization. [ID #549]"
border wall funding,3,0.713725,1450_pdf_5340_p0024-p0024_hd1724f58021985ac,1450,5340,24,24,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]",data/sample_100/policies/1450__report-tump-memo-bars-resettlement-agencies-from-providing-services-to-refugees-/documents/subsequent-action__5340__nan__47540f811e.pdf,"[""5340""]","[""5340""]","[""1450_pdf_5340_p0024-p0024_hd1724f58021985ac"", ""1450_pdf_5340_p0013-p0014_h9c778da00409f2e1""]",2,9,"24 69. The government has made no suggestion that the funds Congress appropriated to support this program have been exhausted. Last year alone, Congress appropriated $3.9 billion to the State Department for, among other things, “migration and refugee assistance.” Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024, 138 Stat. at 744; see also Additional Afghanistan Supplemental Appropriations Act, 2022, 135 Stat. at 375 (appropriating an additional $976,100,000 for special immigrant visa holders from Afghanistan, among other things). Yet the government, through the Refugee Funding Suspension, is indefinitely refusing to spend that money, even though Congress has commanded that it do so for statutorily mandated purposes—including providing employment and English training to refugees already placed with USCCB. See 8 U.S.C. § 1522(a)(1)(A). The government instead has left USCCB and its assigned refugees to fend for themselves. The Refugee Act of 1980 sim…"
border wall funding,4,0.708917,1417_pdf_6789_p0037-p0038_h43c018d7bab4193d,1417,6789,37,38,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/subsequent-action__6789__nan__9ff8086334.pdf,"[""6789"", ""5968"", ""4894""]","[""6789"", ""5968"", ""4894""]","[""1417_pdf_6789_p0037-p0038_h43c018d7bab4193d"", ""1417_pdf_5968_p0030-p0030_h7735fd32335e9fa4"", ""1417_pdf_6789_p0078-p0078_h0744c14896ff5224"", ""1417_pdf_6789_p0059-p0060_h05c1b222b9487220"", ""1417_pdf_4894_p0022-p0022_h34a0025ee2fb5f5d"", ""1417_pdf_4894_p0038-p0039_h2e35f5a8ebd5406d""]",6,10,"For instance, the 2019 directive establishing the one-hour limit before a court hearing is a component of Remain in Mexico that the government has confirmed is part of the “current operative guidance” for its reimplementation. Immigrant Defs. L. Ctr., 2025 WL 1172442, at *24. According to ImmDef, “[i]n practice, [they] were often given less than an hour for these meetings, during which an Immigration and Customs Enforcement (ICE) officer was always present—making it impossible for [them] to have private conversations with [their]clients.” Between January 2019 and November 2020, ImmDef also spent approximately $400,000 on costs associated with launching and sustaining its CBI to provide legal services for MPP clients. In 2021, ImmDef’s funding for the CBI was $210,000, a substantial portion of which was associated with representing MPP clients. Since MPP effectively ended in the summer of 2021, ImmDef explains that it “has reprioritized and expanded its legal representation programs fo…"
border wall funding,5,0.698681,1505_pdf_5628_p0005-p0006_h01f50f8eb32d93ec,1505,5628,5,6,"OMB temporarily pauses agency grant, loan, and financial assistance programs",,"[""Unspecified/Other""]",[],data/sample_100/policies/1505__omb-temporarily-pauses-agency-grant-loan-and-financial-assistance-programs/documents/subsequent-action__5628__nan__d1437d712f.pdf,"[""5628"", ""5054"", ""5963"", ""5053"", ""5629"", ""5055"", ""5962""]","[""5628"", ""5054"", ""5963"", ""5053"", ""5629"", ""5055"", ""5962"", ""1505""]","[""1505_pdf_5628_p0005-p0006_h01f50f8eb32d93ec"", ""1505_pdf_5054_p0020-p0021_h8228b4e434ab0a8e"", ""1505_pdf_5963_p0001-p0001_hbbd218eeaa7eb23b"", ""1505_pdf_5053_p0001-p0002_h6d0cc01930b1d606"", ""1505_pdf_5629_p0029-p0030_h486e6bb47bc3f2d5"", ""1505_pdf_5628_p0013-p0014_hd445a71122d28334"", ""1505_pdf_5055_p0011-p0011_hf34edd7a74ec0e31"", ""1505_pdf_5962_p0016-p0017_hca67ceb1fdc83889"", ""1505_pdf_5054_p0026-p0027_h48c23b6cb8cc88c1"", ""1505_sum_h5aefd97a738fa48d"", ""1505_pdf_5628_p0020-p0020_h34612f9c5e6b1f96"", ""1505_pdf_5054_p0021-p0022_hf222bbf5d072a1a5"", ""1505_pdf_5054_p0023-p0023_h6e278da8b5e9580b"", ""1505_pdf_5628_p0012-p0013_hc54c8fc9fcdf5ad7""]",14,12,"OMB Acting Director Matthew J. Vaeth issued a memo addressed to all heads of executive departments and agencies on ""Temporary Pause of Agency Grant, Loan, and Other Financial Assistance Programs."" The memo directed Federal agencies to ""temporarily pause all activities related to obligation or disbursement of all Federal financial assistance, and other relevant agency activities that may be implicated by"" Trump administration executive orders, including ""financial assistance for foreign aid, nongovernmental organizations, DEI, woke gender ideology, and the green new deal."" During the pause, agencies must review all federal assistance programs for consistency with Trump's executive orders and submit ""detailed information"" to OMB on ""any programs, projects or activities subject to this pause"" by February 10, 2025. The funding freeze would affect programs that assist noncitizens in the U.S., including EOIR's Office of Legal Access Programs, that were addressed by EO 14159, Protecting the …"
refugee resettlement,1,0.797239,1450_pdf_5339_p0013-p0014_h3578f816e06ca959,1450,5339,13,14,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]",data/sample_100/policies/1450__report-tump-memo-bars-resettlement-agencies-from-providing-services-to-refugees-/documents/subsequent-action__5339__nan__5a9a3a150e.pdf,"[""5339"", ""5340"", ""5425"", ""6183"", ""6186""]","[""5339"", ""1450"", ""5340"", ""5425"", ""6183"", ""6186""]","[""1450_pdf_5339_p0013-p0014_h3578f816e06ca959"", ""1450_sum_he4fc77c90f951008"", ""1450_pdf_5339_p0041-p0042_he4eb937895452bf9"", ""1450_pdf_5340_p0010-p0011_h742cd321a3bae820"", ""1450_pdf_5339_p0014-p0014_h887750e583e900ce"", ""1450_pdf_5339_p0034-p0034_h1b7cf4e90f193721"", ""1450_pdf_5339_p0035-p0035_h62aa0c67ba97a440"", ""1450_pdf_5339_p0006-p0007_h2d6e577dd2ce43e5"", ""1450_pdf_5339_p0035-p0036_hcd02d5a75b3a027a"", ""1450_pdf_5425_p0007-p0008_hde21a9c7bed3d088"", ""1450_pdf_5339_p0036-p0036_he3e9fa4daa9847d5"", ""1450_pdf_5339_p0012-p0012_h08ff1f2c726e3dd4"", ""1450_pdf_5339_p0012-p0013_h79a1e589f93548c0"", ""1450_pdf_5340_p0011-p0012_hae7bf32cd902f754"", ""1450_pdf_6183_p0019-p0020_h132ea584fe748e11"", ""1450_pdf_5339_p0010-p0010_h58bbd6cc310ffd94"", ""1450_pdf_5339_p0011-p0012_hbef77c74f21de44a"", ""1450_pdf_5339_p0013-p0013_h24f46f94c0d43d31"", ""1450_pdf_5340_p0002-p0003_h7979f5d1884ba606"", ""1450_pdf_6183_p0021-p0022_hb98e03f2bbb9fb48"", ""1450_pdf_5425_p0005-p0006_h72754ce5dc9efda1"", ""1450_pdf_5339_p0008-p0008_hbbd90758ba84eaaf"", ""1450_pdf_5340_p0009-p0009_h1986c45cea0a10fe"", ""1450_pdf_5339_p0005-p0006_h74ca50f2efa12f9c"", ""1450_pdf_5339_p0018-p0018_h74e228cdc4b15ece"", ""1450_pdf_6186_p0005-p0006_hd2d6aba45f37c219"", ""1450_pdf_5339_p0008-p0009_h7b028272954a8c8a""]",27,1,"The State Department Bureau of Population, Refugees, and Migration (PRM) sent letters to resettlement agencies ordering them to stop all work supporting resettled refugees through the Reception & Placement (R&P) Program that funds work to help refugees during their first three months in the U.S. The letters implement presidential EOs, ""Reevaluating and Realigning United States Foreign Aid,"" ""Ending Radical and Wasteful Government DEI Programs and Preferencing,"" and ""Initial Rescissions of Harmful Executive Actions."" Trump 2.0 [ID #1450]"
refugee resettlement,2,0.781207,1505_pdf_5962_p0002-p0002_h738e006e3b8fe249,1505,5962,2,2,"OMB temporarily pauses agency grant, loan, and financial assistance programs",,"[""Unspecified/Other""]",[],data/sample_100/policies/1505__omb-temporarily-pauses-agency-grant-loan-and-financial-assistance-programs/documents/subsequent-action__5962__nan__846294e3e1.pdf,"[""5962"", ""5628""]","[""5962"", ""5628""]","[""1505_pdf_5962_p0002-p0002_h738e006e3b8fe249"", ""1505_pdf_5628_p0009-p0009_hd3f1530ae559f62e"", ""1505_pdf_5962_p0009-p0009_h2b3646aa51d6aabd"", ""1505_pdf_5628_p0014-p0014_hdd9f13d0ccc1f9c1"", ""1505_pdf_5962_p0011-p0012_h50f52299290ea7af"", ""1505_pdf_5962_p0007-p0008_hf7a6f1437d694c60"", ""1505_pdf_5962_p0009-p0010_h6a8a19e36f56f52b"", ""1505_pdf_5962_p0024-p0024_h2a96dd2ab6cd9ec3"", ""1505_pdf_5962_p0026-p0027_h1fa7c1d2c0a46cc1"", ""1505_pdf_5628_p0002-p0002_hb63adfc3ce194405"", ""1505_pdf_5962_p0011-p0011_h5e7009065337e8ad"", ""1505_pdf_5628_p0014-p0015_hb31310a9de0f81b6"", ""1505_pdf_5628_p0009-p0010_h62f71e27030569d4"", ""1505_pdf_5628_p0011-p0012_hac56295817d518ab"", ""1505_pdf_5628_p0015-p0016_hcbd471f2cdeba607"", ""1505_pdf_5962_p0010-p0011_hc05a7d460de06ae8"", ""1505_pdf_5962_p0029-p0029_ha66de4de25b17305"", ""1505_pdf_5628_p0016-p0017_he7b2ee754857837a""]",18,3,"Eligible individuals have been specifically granted entry by Congress. They include victims of trafficking and those from countries such as Cuba, Afghanistan, and Ukraine. (ORR collectively uses the term “refugees” to describe these eligible individuals.) 4. Most recently, in 2022, Congress appropriated over $6.3 billion explicitly for ORR to administer refugee resettlement programs serving these eligible populations. 5. The County runs one such program. For over forty years, the County has assisted with Congress’s stated refugee resettlement objectives by providing essential health screenings, immunizations, and connections to primary care-services annually to 11,000 refugees and other admitted immigrants with documented legal status. 6. The County’s medical refugee resettlement programs are thus especially important for ensuring that vulnerable populations have the medical care necessary to successfully integrate in the community. With the appropriated funds from ORR, the County als…"
refugee resettlement,3,0.774098,2105_sum_h567610ce431a6989,2105,,,,President Trump transfers grant-making authority for initial resettlement grants and contracts from DOS to ORR,,"[""Unspecified/Other"", ""Unspecified/Other""]","[""Refugees""]",,[],"[""2105""]","[""2105_sum_h567610ce431a6989""]",1,6,"Presidential Determination No. 2024-14 transfers the ""administration of the program of initial resettlement grants, which are awarded to public or private nonprofit agencies for initial resettlement services for refugees"" from the Department of State (DOS) to the Office of Refugee Resettlement (ORR) in the Department of Health and Human Services (HHS). The memorandum explains that this transfer ""ensures better alignment of resources, oversight, and accountability [for] resettlement activities that take place entirely within the United States."" Trump 2.0 [ID #2105]"
refugee resettlement,4,0.751507,983_pdf_2266_p0001-p0001_h923864388ba92e00,983,2266,1,1,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility,,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT""]",data/sample_100/policies/983__dhs-and-doj-propose-adding-public-health-grounds-to-asylum-and-withholding-of-re/documents/prior-policy__2266__8-cfr-20816__8764867f20.pdf,"[""2266""]","[""2266""]","[""983_pdf_2266_p0001-p0001_h923864388ba92e00""]",1,34,"29, 2011] § 208.15 Definition of ‘‘firm resettlement.’’ An alien is considered to be firmly resettled if, prior to arrival in the United States, he or she entered into another country with, or while in that country received, an offer of permanent resident status, citizenship, or some other type of permanent resettlement unless he or she establishes: (a) That his or her entry into that country was a necessary consequence of his or her flight from persecution, that he or she remained in that country only as long as was necessary to arrange onward travel, and that he or she did not establish significant ties in that country; or (b) That the conditions of his or her residence in that country were so substantially and consciously restricted by the authority of the country of refuge that he or she was not in fact resettled. In making his or her determination, the asylum officer or immigration judge shall consider the conditions under which other residents of the country live; the type of ho…"
refugee resettlement,5,0.750270,1608_pdf_5593_p0001-p0002_h36da52394c82436d,1608,5593,1,2,Foreign Affairs Manual section on Referrals for Refugee Status updated to remove references to transgender and intersex individuals,,"[""Unspecified/Other""]",[],data/sample_100/policies/1608__foreign-affairs-manual-seciton-on-referrals-for-refugee-status-updated-to-remove/documents/new-policy__5593__nan__16df7bd753.pdf,"[""5593"", ""5606""]","[""5593"", ""5606""]","[""1608_pdf_5593_p0001-p0002_h36da52394c82436d"", ""1608_pdf_5606_p0001-p0002_h8a145e50b9cd1950""]",2,36,"The international community has given UNHCR the responsibility to protect refugees worldwide. d. NGO Referrals: Individuals may be referred for U.S. resettlement by nongovernmental organization (NGO) employees engaged in refugee assistance or protection activities. Certain NGOs trained by PRM and USCIS may submit cases to the regional refugee coordinator working in the area for consideration. If an NGO approaches a post, refer them to the nearest regional refugee coordinator. 9 FAM 203.4 REFERRALS FOR REFUGEE STATUS https://fam.state.gov/FAM/09FAM/09FAM020304.html 1 of 3 3/12/2025, 6:21 PM 9 FAM 203.4-2 U.S. EMBASSY REFERRALS TO THE U.S. REFUGEE PROGRAM (CT:VISA-2131; 02-26-2025) a. Embassy Referrals: This section explains how an embassy may identify and refer persons for consideration for refugee status under Priority 1. b. Who is Eligible for an Embassy Referral? (1) A U.S. embassy may refer any individual who appears to meet the definition of a refugee to USRAP for consideration un…"
public charge rule,1,0.807503,766_ttl_h139ab0551ff19752,766,,,,USCIS issues final rule on public charge inadmissibility grounds,,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other""]",,"[""4044"", ""3415"", ""4021"", ""1713"", ""1706"", ""4626"", ""1711"", ""4363"", ""1708"", ""1712"", ""4126"", ""3969"", ""1714"", ""1707"", ""3869""]","[""766"", ""4044"", ""3415"", ""4021"", ""1713"", ""1706"", ""4626"", ""1711"", ""4363"", ""1708"", ""1712"", ""4126"", ""3969"", ""1714"", ""1707"", ""3869""]","[""766_ttl_h139ab0551ff19752"", ""766_pdf_4044_p0003-p0003_h3ee2d123b1553127"", ""766_pdf_3415_p0001-p0001_h7b142b295e2b68f0"", ""766_pdf_4021_p0002-p0003_h3271777a97666f9f"", ""766_pdf_1713_p0001-p0001_hdae6e0d40af78e71"", ""766_pdf_1706_p0001-p0001_h994914c5dbac107a"", ""766_pdf_4626_p0004-p0004_ha91065bddb37e83a"", ""766_pdf_1711_p0001-p0001_h70c6234d79b0dca8"", ""766_pdf_1713_p0001-p0001_h2ba31fc535f8d2ea"", ""766_pdf_4363_p0001-p0002_h9f6d6cb5569541aa"", ""766_pdf_1708_p0001-p0001_h4270541ae57f1f69"", ""766_pdf_1708_p0002-p0002_hc42a5ba01ad049b8"", ""766_pdf_4044_p0015-p0015_h54fcc6367d0cb9a8"", ""766_pdf_4044_p0008-p0008_hf417693f11b6d74f"", ""766_pdf_1712_p0002-p0002_h065da95d793addd9"", ""766_pdf_4126_p0001-p0001_h4e8d52fa3014bc6d"", ""766_pdf_4021_p0003-p0003_h74a85e6ad88b884d"", ""766_pdf_3415_p0001-p0002_h7a9ccf4bbc1be44f"", ""766_pdf_4044_p0001-p0002_h1ae90840af6bf09b"", ""766_pdf_1712_p0002-p0002_h65d09e18a03aca67"", ""766_pdf_3969_p0001-p0001_h1d8d468e4df615aa"", ""766_pdf_1712_p0001-p0002_ha1b05a45a908c8ab"", ""766_pdf_1708_p0001-p0001_h21413c3037769268"", ""766_pdf_1714_p0001-p0001_heb8bd19c60842ba8"", ""766_pdf_1708_p0002-p0002_h868d9f30d71b7b09"", ""766_pdf_1706_p0001-p0001_hbcd965f591cd746d"", ""766_pdf_1711_p0001-p0002_h8d206d9a987d3a30"", ""766_pdf_3415_p0002-p0002_h379ccdd42522e7f7"", ""766_pdf_1707_p0001-p0001_h5fd4b7121d2e34aa"", ""766_pdf_4626_p0005-p0006_ha34cfbf173f95bb4"", ""766_pdf_4626_p0001-p0002_h9be0f8dd7516a433"", ""766_sum_h5096fcd078830cdd"", ""766_pdf_1712_p0001-p0001_h74c5d9bfca2071c7"", ""766_pdf_4044_p0014-p0015_hf3cf2d8991378def"", ""766_pdf_4626_p0012-p0012_h5d6647fe895a5b01"", ""766_pdf_3869_p0001-p0001_h21e6d8c4246f488e"", ""766_pdf_1711_p0001-p0001_h063dab1b1705aa43"", ""766_pdf_4044_p0002-p0003_h3cc82642a3b9a771"", ""766_pdf_4626_p0010-p0011_h5223d027b6cc528b""]",39,1,"USCIS issues final rule, signed by Acting Secretary McAleenan, on public charge inadmissibility grounds, which governs admission and adjustment of status. The rule requires consideration of certain previously excluded programs including Medicaid, SNAP, Medicare Part D Low-Income Subsidy, and several housing programs. Pending applications and petitions are not subject to the new rule. [ID #766]"
public charge rule,2,0.701285,198_pdf_3859_p0006-p0007_h9f9809dfc3eec0d3,198,3859,6,7,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling",,"[""Customs and Border Protection"", ""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]",data/sample_100/policies/198__eoir-releases-memo-on-acceptance-of-ntas-use-of-interactive-scheduling-system/documents/subsequent-action__3859__nan__06c4b47778.pdf,"[""3859""]","[""3859""]","[""198_pdf_3859_p0006-p0007_h9f9809dfc3eec0d3"", ""198_pdf_3859_p0007-p0007_h5e5002999bfeef72"", ""198_pdf_3859_p0005-p0006_hef7caff11fda2bd8""]",3,31,"§ 1003.13 provides a definition of “charging document” that, in addition to an NTA, includes an Order to Show Cause, a Notice of Referral to Immigration Judge, and a Notice of Intention to Rescind and Request for Hearing by Alien—none of which is subject to section 239(a) of the Act, which governs only NTAs. See Niz-Chavez, 141 S. Ct. at 1484 (distinguishing Orders to Show Cause from NTAs and explaining that the Illegal Immigration Reform and Immigrant Responsibility Act of 1996, Pub. L. No. 104-208, Div. C., § 304, 110 Stat. 3009-546, 3009-587 to 3009-588 (“IIRIRA”), changed the name and required content of the charging document); Perez-Perez v. Wilkinson, 988 F.3d 371, 375 (7th Cir. 2021) (noting that Pereira does not apply to pre-IIRIRA Orders to Show Cause because they are “governed by different statutory requirements”). As Pereira does not apply to Orders to Show Cause, it cannot apply wholesale to the broader category of “charging Cite as 28 I&N Dec. 388 (BIA 2021) Interim Decis…"
public charge rule,3,0.698897,1505_pdf_5629_p0042-p0043_hde66e9390ef7922e,1505,5629,42,43,"OMB temporarily pauses agency grant, loan, and financial assistance programs",,"[""Unspecified/Other""]",[],data/sample_100/policies/1505__omb-temporarily-pauses-agency-grant-loan-and-financial-assistance-programs/documents/subsequent-action__5629__nan__f4b58d1e68.pdf,"[""5629""]","[""5629""]","[""1505_pdf_5629_p0042-p0043_hde66e9390ef7922e""]",1,32,"Balance of the Equities and Public Interest The Court need not say much more on the final two factors than it did when it granted the TRO as the more developed evidentiary record continues to overwhelmingly show that the balance of equities weighs heavily in favor of granting the States’ preliminary injunction motion and the public interest is supported by “preserv[ing] the status quo.” Francisco Sanchez v. Esso Standard Oil Co., 572 F.3d 1, 19 (1st Cir. 2009). The Defendants are not harmed where the order requires them to disburse funds that Congress has appropriated to the States and that they have obligated. The Court’s order does not prevent the Defendants from making funding decisions in Case 1:25-cv-00039-JJM-PAS Document 161 Filed 03/06/25 Page 42 of 45 PageID #: 8046 43 situations under the Executive’s “actual authority in the applicable statutory, regulatory, or grant terms,” ECF No. 111 at 7; rather it enjoins agency action that violates statutory appropriations and obligati…"
public charge rule,4,0.687781,93_pdf_250_p0028-p0029_hd7e25e328529df69,93,250,28,29,Asylum seekers given less time to prepare for credible fear interviews,,"[""U.S. Citizenship and Immigration Services""]","[""Asylum, Withholding and CAT""]",data/sample_100/policies/93__asylum-seekers-given-less-time-to-prepare-for-credible-fear-interviews/documents/subsequent-action__250__lmm-v-cuccinelli-decison__fb7bab7bb1.pdf,"[""250""]","[""250""]","[""93_pdf_250_p0028-p0029_hd7e25e328529df69""]",1,39,"Cir. 2015) (holding that a bank had standing to challenge the recess appointment of the Director of the Consumer Financial Protection Bureau because the bank was regulated by that agency); Olympic Fed. Sav. & Loan Ass’n v. Director, Office of Thrift Supervision, 732 F. Supp. 1183, 1188–89 (D.D.C. 1990) (holding that the plaintiff’s challenge to the appointment of the agency director and acting director was redressable, even though the plaintiff faced a continuing “threat of government intervention” by other officials). Even setting this precedent aside, however, any redressability question raised by the individual Plaintiffs’ FVRA claim is put to rest by the principle that courts must assume, for purposes of assessing standing, that the Plaintiffs will prevail on the merits. See Cutler v. U.S. Dep't of Health & Human Servs., 797 F.3d 1173, 1179–80 (D.C. Cir. 2015) (observing that a court “must assume that the party asserting federal jurisdiction is correct on the legal merits of his c…"
public charge rule,5,0.685184,1450_pdf_6183_p0030-p0031_h4463c1535be477d8,1450,6183,30,31,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]",data/sample_100/policies/1450__report-tump-memo-bars-resettlement-agencies-from-providing-services-to-refugees-/documents/subsequent-action__6183__nan__a5cb4daabc.pdf,"[""6183"", ""5425""]","[""6183"", ""5425""]","[""1450_pdf_6183_p0030-p0031_h4463c1535be477d8"", ""1450_pdf_5425_p0056-p0057_h774b943515a2d87e""]",2,45,"61 at 4. But these cases only reiterate the wellestablished principle that claims seeking contractual remedies against the federal government do not belong in district court. See Ingersoll-Rand, 780 F.2d at 80; Coggeshall Dev. Corp. v. Diamond, 884 F.2d 1, 3 (1st Cir. 1989); B.K. Instrument, Inc. v. United States, 715 F.2d 713, 727-28 (2d Cir. 1983). As discussed above, Plaintiffs seek statutory, not contractual, remedies. See infra § 3.2. Case 2:25-cv-00255-JNW Document 79 Filed 03/24/25 Page 30 of 37 FINDINGS OF FACT, CONCLUSIONS OF LAW, AND ORDER ISSUING SECOND PRELIMINARY INJUNCTION - 31 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 To be clear, the mere fact that the government’s statutory obligations sometimes overlap with its contractual obligations does not prevent district courts from compelling statutory compliance. As the D.C. Circuit reasoned in Megapulse: It is one thing to rely on the generally recognized rule that a plaintiff cannot maintain a contract act…"
