query,rank,score,relevance,reason,title,administration,agencies_affected,subject_matter,snippet
border wall funding,1,17.374922,3,Direct match on border wall funding in both title and substance,White House FY2020 Budget Proposal includes $8.6 billion in border wall funding,,"[""Customs and Border Protection"", ""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Border"", ""Interior""]",White House FY2020 Budget Proposal includes $8.6 billion in border wall funding
border wall funding,2,16.803361,2,Highly related budget document on border security funding but not specifically border wall funding alone,President Trump proposes cutting funding to E-Verify program,,"[""U.S. Citizenship and Immigration Services""]","[""Employment Verification""]","*********************************** Border Security and Immigration Enforcement Funding by Year: FYs 2014 - 2020 ($ billions) 2014 2015 2016 2017 2018 2019 2020 PB CBP $10.6 $10.9 $11.2 $12.1 $14.0 $15.0 $18.2 ICE $5.3 $6.0 $5.8 $6.4 $7.1 $7.6 $8.8 EOIR $0.3 $0.3 $0.4 $0.4 $0.5 $0.6 $0.7 UAC $0.9 $0.9 $0.9 $1.2 $1.3 $1.3 $1.3 DOD - - - - - - $3.6 Total $17.1 $18.1 $18.3 $20.1 $22.9 $24.5 $32.6 Department of Homeland Security. Overall 2020 funding for U.S. Customs and Border Protection (CBP) ($18.2 billion) and U.S. Immigration and Customs Enforcement (ICE) ($8.8 billion) is 19 percent higher than the FY 2019 level. The Budget proposes sizable investments in a border wall; border security technology and equipment; funding to hire additional CBP and ICE law enforcement officers; and increased capacity to detain and deport illegal aliens. • The Budget requests $5.4 billion in high priority investments in border security technology, infrastructure, and equipment to help CBP prevent, detec…"
border wall funding,3,15.079959,0,About pausing grants and loans with no meaningful border wall focus,"OMB temporarily pauses agency grant, loan, and financial assistance programs",,"[""Unspecified/Other""]",,"The potential $3 trillion in financial assistance implicated by the freeze is a “breathtakingly large sum of money to suspend practically overnight.” ECF No. 30, at 24. And “[r]ather than taking a measured approach to identify purportedly wasteful spending, Defendants cut the fuel supply to a vast, complicated, nationwide machine—seemingly without any consideration for the consequences of that decision.” Id. Doing so was not—and could never be—rational, especially when the decision was made without grappling with its catastrophic effects or the logistical nightmare of its implementation.10 See Bus. Roundtable v. Sec. & Exch. Comm’n, 647 F.3d 1144, 1148 (D.C. Cir. 2011) (explaining that an agency’s failure to “apprise itself . . . of the economic consequences” of potential action is “arbitrary and capricious and not in accordance with law” (quoting Chamber of Com. of the U.S. v. Sec. & Exch. Comm’n, 412 F.3d 133, 144 (D.C. 10 Both Defendants and Amicus argue that “[t]emporary funding p…"
border wall funding,4,6.719308,1,Border operations context but not specifically about funding the wall,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]","Prior to doing so, however, the Department ensured that these individuals received COVID-19 tests before crossing the border and entering the United States. The Department also worked in close partnership with nongovernmental organizations and local officials in border communities to connect migrants with short-term supports that facilitated their onward movement to final destinations away from the border. 100 The district court faulted the Secretary for not taking into account alleged warnings to members of the BidenHarris transition team by career DHS officials that terminating MPP would cause a spike in border encounters. Texas, 2021 WL 3603341, at *7. The Department is unaware of any such specific conversations, yet is aware of, and has taken into account, similar concerns raised by others. 101 See Texas, 2021 WL 3603341, at *9-10. 102 First Amended Complaint at 2, 38-39, Texas v. Biden, No. 2:21-cv-67 (N.D. Tex. filed June 3, 2021); see also Complaint, West Virginia v. Biden, No.…"
border wall funding,5,6.069738,0,Citizenship census litigation is not meaningfully about border wall funding,Commerce Department announces addition of citizenship question to 2020 Census,,"[""Unspecified/Other"", ""Unspecified/Other""]","[""Unspecified/Other""]","Moriarity, 106 F. 886, 891 (CC SDNY 1901) (duty to take a census of population “does not prohibit the gathering of other statistics, if ‘necessary and proper,’ for the intelligent exercise of other powers enumerated in the constitution”). While we have never faced the question directly, we have assumed that Congress has the power to use the census for information-gathering purposes, see Legal Tender Cases, 12 Wall. 457, 536 (1871), and we have recognized the role of the census as a “linchpin of the federal statistical system by collecting data on the characteristics of individuals, households, and housing units throughout the country,” Department of Commerce v. Cite as: 588 U. S. ____ (2019) 13 Opinion of the Court United States House of Representatives, 525 U. S. 316, 341 (1999) (internal quotation marks omitted). That history matters. Here, as in other areas, our interpretation of the Constitution is guided by a Government practice that “has been open, widespread, and unchallenged s…"
refugee resettlement,1,9.603986,3,Directly discusses frozen funds for refugee resettlement programs,"OMB temporarily pauses agency grant, loan, and financial assistance programs",,"[""Unspecified/Other""]",,"114. HHS’s unilateral executive action to withhold or freeze funds appropriated by Congress for the refugee resettlement programs thus unconstitutionally infringes on Congress’s spending and appropriations powers. 115. Because HHS has arbitrarily and capriciously refused to provide the refugee resettlement program federal grants—effectively terminating the programs—the County is entitled to the declaratory and injunctive relief sought here. Case 1:25-cv-01058 Document 1 Filed 04/08/25 Page 29 of 33 30 PRAYER FOR RELIEF WHEREFORE, Plaintiff Harris County prays that this Court: 1. Declare that HHS’s sub silentio cancellation of congressional appropriations for the refugee resettlement programs, as applied to the County, is contrary to law under the APA; 2. Declare that HHS’s sub silentio cancellation of congressional appropriations for the refugee resettlement programs , as applied to the County, is arbitrary and capricious under the APA; 3. Declare that HHS’s sub silentio cancellation …"
refugee resettlement,2,9.336521,3,Direct match on stopping funded work supporting refugees already in the U.S.,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]","The Act also denies the Executive Case 1:25-cv-00465 Document 1 Filed 02/18/25 Page 13 of 35 14 Branch any authority to defer spending except for three specified reasons; it forbids deferrals based on policy disagreements with Congress. Id. § 684(b). III. USCCB’s Refugee-Resettlement Program And Cooperative Agreements 37. Each year since the enactment of the Refugee Act of 1980, USCCB has entered into agreements with the federal government to provide initial-resettlement services for refugees. USCCB receives and coordinates the distribution of PRM awards for initial resettlement through its Migration & Refugee Service. USCCB partners with subrecipients, most of whom are local Catholic Charities, across the United States to accomplish this work. These partners are strategically chosen in concert with the State Department and state refugee coordinators to achieve goals such as partnering with subrecipients in locations that will facilitate family reunification efforts. 38. Today, USCCB …"
refugee resettlement,3,9.13908,3,Directly about transferring authority over initial refugee resettlement grants and contracts,President Trump transfers grant-making authority for initial resettlement grants and contracts from DOS to ORR,,"[""Unspecified/Other"", ""Unspecified/Other""]","[""Refugees""]","Presidential Documents 49007 Federal Register / Vol. 90, No. 209 / Friday, October 31, 2025 / Presidential Documents Presidential Determination No. 2025–14 of September 30, 2025 Presidential Determination on Transferring the United States Program of Initial Refugee Resettlement Memorandum for the Secretary of State [and] the Secretary of Health and Human Services By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 412(b)(1) of the Immigration and Nationality Act (8 U.S.C. 1522(b)(1)), it is hereby ordered: Refugee resettlement must be conducted in a manner that serves the national interest, promotes efficient use of taxpayer dollars, protects the integrity of the United States immigration system, and supports refugees in achieving early economic self-sufficiency and assimilation into American society. Centralizing the responsibilities for all domestic resettlement under one executive department or agency (agenc…"
refugee resettlement,4,7.849234,2,Clearly about refugee status referrals and admissions though less about domestic resettlement operations,Foreign Affairs Manual section on Referrals for Refugee Status updated to remove references to transgender and intersex individuals,,"[""Unspecified/Other""]",,"UNCLASSIFIED (U) 9 FAM 203.4 REFERRALS FOR REFUGEE STATUS (CT:VISA-2131; 02-26-2025) (Office of Origin: CA/VO) 9 FAM 203.4-1 REQUESTS FOR REFUGEE OR ASYLUM, REFERRALS OVERVIEW (CT:VISA-1995; 05-29-2024) a. Priority 1 (P-1) refugee cases include all cases individually identified and referred to the U.S. Refugee Admissions Program (USRAP) by the United Nations High Commissioner for Refugees (UNHCR), a U.S. embassy (see 9 FAM 203.4-2), or a non-governmental organization (see paragraph d below). b. In most instances, persons potentially in need of protection are served by UNHCR, which has an international mandate for refugee protection, and which may refer the individuals for third country resettlement. c. Requests at U.S. Missions: Individuals seeking temporary refuge or asylum in the United States sometimes approach diplomatic missions directly. (1) If someone approaches U.S. Government agency representatives seeking such assistance, missions should see the guidance in: (a) 2 FAM 227, R…"
refugee resettlement,5,7.812397,1,ORR appears in the document but it is mainly about unaccompanied children releases not refugee resettlement,ORR requires Director-level authorization of custodial releases of certain unaccompanied children,,"[""Office of Refugee Resettlement""]","[""Detention"", ""Interior"", ""Minors""]","UNITED STATES DISTRICT COURT SOUTHERN DISTRICT OF NEW YORK L.V.M., a minor, by and through his next friend EDITH ESMERALDA MEJIA DE GALINDO, on his own behalf and on behalf of others similarly situated, Plaintiffs/Petitioners, v. ROBIN DUNN MARCOS, Director, Office of Refugee Resettlement; ALLISON BLAKE, Director, Unaccompanied Children Program, Office of Refugee Resettlement; JEFF HILD, Acting Assistant Secretary for the Administration for Children and Families, U.S. Department of Health and Human Services; XAVIER BECERRA, Secretary, U.S. Depaitment of Health and Human Services, Defendants/Respondents. 1 ""[PROPOSI©t-ORDER AND FINAL JUDGMENT Case No. I: 18-cv-01453(PAC) This matter is before the Com1 on the Petitioners' motion for final approval of their class action settlement (the ""Motion""). The Court, having granted the Petitioners' motion for preliminary approval on September 5, 2023 (""Preliminary Approval Order""), ECF No. 165, and having held a fairness hearing on December 11, 20…"
public charge rule,1,15.44248,3,Exact match on USCIS final rule about public charge inadmissibility,USCIS issues final rule on public charge inadmissibility grounds,,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other""]","Public Charge USCIS is no longer applying the August 2019 Public Charge Final Rule. As a consequence, among other changes, USCIS will apply the public charge inadmissibility statute consistent with the 1999 Interim Field Guidance. In other words, USCIS is not considering an applicant’s receipt of Medicaid (except for long-term institutionalization at the government’s expense), public housing, or Supplemental Nutrition Assistance Program (SNAP) benefits as part of the public charge inadmissibility determination. Background On Nov. 2, 2020, the U.S. District Court for the Northern District of Illinois vacated the Inadmissibility on Public Charge Grounds final rule (84 Fed. Reg. 41,292 (Aug. 14, 2019)), as amended by Inadmissibility on Public Charge Grounds; Correction, 84 Fed. Reg. 52,357 (Oct. 2, 2019) (Public Charge Final Rule) nationwide. That decision was stayed by the U.S. Court of Appeals for the Seventh Circuit. On March 9, 2021, the Seventh Circuit lifted its stay and the U.S. D…"
public charge rule,2,7.010895,1,Public health bars to asylum are not the same as the public charge rule,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility,,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT""]","EOIR and USCIS issue final rule adding public health-related bars to asylum eligibility. The final rule implements three changes: - Expands the ""danger to the security of the United States"" bar to asylum eligibility to include public-health crises (""emergency public health concerns generated by a communicable disease""); - Provides for ""streamlining screening for potential eligibility for deferral of removal in the expedited removal process"" for noncitizens determined ineligible for asylum based on the third country transit rule; and - Authorizes DHS to place noncitizens found ineligible for asylum or withholding under the third country transit rule or under the ""danger to the security of the United States"" bar into asylum-and-withholding only proceedings, or to remove such individuals to a third country. The rule was signed by Chad Mizelle, Senior Official Performing the Duties of the General Counsel, on behalf of Acting Secretary Wolf, and by EOIR Director James McHenry. [ID #983]"
public charge rule,3,6.485959,0,Criminal conviction modification guidance is unrelated to public charge,"AG Barr issues Matter of Thomas and Thompson, ruling on the immigration effect of modified criminal convictions",,"[""Attorney General"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]","There, the Board established a rule that “a conviction will be found for immigration purposes” where: (1) a judge or jury has found the alien guilty or he has entered a plea of guilty or nolo contendere or has admitted sufficient facts to warrant a finding of guilty; (2) the judge has ordered some form of punishment, penalty, or restraint on the person’s liberty to be imposed (including but not limited to incarceration, probation, a fine or restitution, or community-based sanctions such as a rehabilitation program, a work-release or study- release program, revocation or suspension of a driver’s license, deprivation of nonessential activities or privileges, or community service); and (3) a judgment or adjudication of guilt may be entered if the person violates the terms of his probation or fails to comply with the requirements of the court’s order, without availability of further proceedings regarding the person’s guilt or innocence of the original charge. Id. at 551–52. Under Ozkok’s …"
public charge rule,4,6.328516,1,General USCIS discretion guidance only mentions public safety not the public charge rule itself,USCIS updates policy on applying discretion in adjudications,,,,"[^ 60] For definitions of public safety and national security concerns, see Updated Guidance for the Referral of Cases and Issuance of Notices to Appear (NTAs) in Cases Involving Inadmissible and Deportable Aliens (PDF), PM-602-0050.1, issued June 28, 2018. [^ 61] The oﬀicer should not go behind the record of conviction to reassess an alien’s ultimate guilt or innocence, but rather inquire into the circumstances surrounding the commission of the crime in order to determine whether a favorable exercise of discretion is warranted. See Matter of Edwards (PDF), 20 I&N Dec. 191, 197 (BIA 1990). [^ 62] USCIS considers findings of juvenile delinquency on a case-by-case basis, based on the totality of the evidence, to determine whether a favorable exercise of discretion is warranted. Therefore, an adjustment applicant must disclose all arrests and charges. If any arrest or charge was disposed of as a matter of juvenile delinquency, the applicant must include the court or other public record t…"
public charge rule,5,6.262655,0,Asylum cooperative agreements are unrelated to the public charge rule,DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Asylum, Withholding and CAT"", ""Unspecified/Other""]","§ 706(2)(A). FOURTH CLAIM FOR RELIEF (Challenge to the Rule and Guidance) (Violation of the Safe Third Country Statute, 8 U.S.C. § 1158(a)(2)(A), and the APA, 5 U.S.C. § 706(2)(A)) 146. The safe third country provision contains an exception applicable if “the Attorney General finds that it is in the public interest for the [noncitizen] to receive asylum in the United States.” 8 U.S.C. § 1158(a)(2)(A). With respect to regular removal proceedings in immigration court, the term “the Attorney General” as used in the statute refers to immigration judges. 147. The Rule and Guidance erroneously provide that immigration judges lack this authority and that only DHS can make the public interest determination. 148. The Rule and Guidance therefore violate 8 U.S.C. § 1158(a)(2)(A) and are contrary to law under the APA, 5 U.S.C. § 706(2)(A). FIFTH CLAIM FOR RELIEF (Challenge to the Rule and Guidance) (Violation of 8 U.S.C. § 1231(b)(3), and its implementing regulations; FARRA, codified at 8 U.S.C. …"
migrant protection protocols,1,18.98962,3,Exact match on resuming the Migrant Protection Protocols,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]","1 OOD PM 21-26 Effective: June 24, 2021 To: All Immigration Court and Board of Immigration Appeals Personnel From: Jean King, Acting Director Date: June 24, 2021 MIGRANT PROTECTION PROTOCOLS AND MOTIONS TO REOPEN PURPOSE: Provides information regarding the adjudication of motions to reopen in Migrant Protection Protocols cases OWNER: Office of the Director AUTHORITY: 8 C.F.R. § 1003.0(b) CANCELLATION: None. I. Former Migrant Protection Protocols In January 2019, the Department of Homeland Security (DHS) implemented the Migrant Protection Protocols (MPP), which required certain individuals to wait in Mexico while awaiting adjudication by the Executive Office for Immigration Review (EOIR). See INA § 235(b)(2)(C) (authorizing the return of certain noncitizens to a contiguous territory pending removal proceedings under INA § 240); U.S. Dep’t of Homeland Security, Migrant Protection Protocols (Jan. 24, 2019), https://www.dhs.gov/news/2019/01/24/migrant-protection-protocols; see also Matter…"
migrant protection protocols,2,13.7569,1,MPP appears in the snippet but the document is actually about TPS for Honduras,DHS terminates Temporary Protected Status for Honduras,,"[""U.S. Citizenship and Immigration Services""]","[""TPS""]","25-2581, 2025 WL 2017247 (9th Cir. July 18, 2025) does not require the Court to limit postponement to the individual named Plaintiffs. There, ImmDef, an organizational plaintiff, sought relief against the government’s reimplementation of Migrant Protection Protocols (“MPP”) because Case 3:25-cv-05687-TLT Document 73 Filed 07/31/25 Page 35 of 37 36 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 United States District Court Northern District of California reimplementation would impair ImmDef’s ability to represent their clients. 2025 WL 2017247 at *6–8. The Ninth Circuit “limit[ed] the district court’s § 705 Stay order to exempting ImmDef’s [current and future] clients from [Migrant Protection Protocols] MPP.” Id. at *14 (internal quotations omitted). In contrast, here, individual Plaintiffs seek relief from the Secretary’s TPS termination decisions and the standard remedy for these actions is to set aside an agency’s action if the action is found to be unlaw…"
migrant protection protocols,3,10.808155,1,Document is about categorical parole programs not MPP though it may discuss overlapping harms,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes",,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","At a minimum, granting the stay would facilitate needless human suffering before the courts have reached a final judgment regarding the legal arguments at issue, while denying the Government’s application would not have anything close to that kind of practical impact. 7 Cite as: 605 U. S. ____ (2025) JACKSON, J., dissenting * * * With the stakes as high as they are in this case, measured in terms of real harm to real people, one might reasonably expect the Government to step up to equity’s scale with a mountain of harm-related arguments, bolstered by evi­ dence. The Government bears the burden of showing why it, or the public, will be irreparably injured should it be pre­ vented from exercising its policy preferences now—i.e., while the lawfulness of this agency action is being litigated. This Court has repeatedly denied similar stay requests from federal agencies in recent years, unmoved by the bald contention that the Government is irreparably harmed whenever its “substantial intere…"
migrant protection protocols,4,7.045073,0,Travel ban material is not about MPP,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban",,"[""Bureau of Consular Affairs""]","[""Visitor"", ""Unspecified/Other""]","I therefore hereby proclaim the following: Section 1. Policy and Purpose. (a) It is the policy of the United States to protect its citizens from terrorist attacks and other public-safety threats. Screening and vetting protocols and procedures associated with visa adjudications and other immigration processes play a critical role in implementing that policy. They enhance our ability to detect foreign nationals who may commit, aid, or support acts of terrorism, or otherwise pose a safety threat, and they aid our eworts to prevent such individuals from entering the United States. (b) Information-sharing and identity-management protocols and practices of foreign governments are important for the ewectiveness of the screening and vetting protocols and procedures of the United States. Governments manage the identity and travel documents of their nationals and residents. They also control the circumstances under which they provide information about their nationals to other governments, inclu…"
migrant protection protocols,5,6.439669,1,Asylum cooperative agreements concern third country transfers but are distinct from MPP,DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Asylum, Withholding and CAT"", ""Unspecified/Other""]","In its motion, DHS stated that D.G. had not expressed a fear of being removed to Honduras, even though that motion was the first time Defendants had raised any possibility of removal to Honduras. D.G.’s case was continued, and he now fears that he will be removed to Honduras. In Honduras he fears violence stemming from his status as a Nicaraguan migrant, and he likewise fears that Honduras will immediately deport him to or otherwise require him to return to neighboring Nicaragua. 23. Plaintiff Y.A. fled her native Somalia after her stepmother subjected her to female genital mutilation and forced marriage to a much older man. Before the marriage could occur, members of Y.A.’s fiancé’s clan kidnapped her, and her fiancé tried to rape her. Y.A. fled Somalia for Kenya and South Africa but was unable to find safety in either country. As a result, she fled to the United States and briefly traveled through Honduras on the way. Y.A. entered the United States in October 2024, was detained by D…"
