relevance,reason,query,rank,title
1,"General USCIS discretion guidance only tangentially relates to inspections.","CBP expedited inspection and secondary inspection policy guidance updates",5,"USCIS updates policy on applying discretion in adjudications"
0,"PRWORA federal funding interpretations are unrelated to cancellation hardship standards.","changes to cancellation of removal hardship standard interpretations",1,"HHS issues notice excluding undocumented immigrants from additional federal benefits"
2,"Directly references cancellation of removal eligibility and stop-time rule issues.","changes to cancellation of removal hardship standard interpretations",2,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
1,"Asylum cooperative agreements concern withholding/CAT standards, not cancellation hardship.","changes to cancellation of removal hardship standard interpretations",3,"DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements"
2,"Discusses continuances for cancellation cases subject to statutory caps.","changes to cancellation of removal hardship standard interpretations",4,"EOIR Director issues guidance to restrict continuances"
1,"Discusses burden of proof in cancellation contexts, but not hardship standards directly.","changes to cancellation of removal hardship standard interpretations",5,"AG Barr issues Matter of Thomas and Thompson, ruling on the immigration effect of modified criminal convictions"
3,"Directly rescinds EOIR continuance-related memoranda and asylum processing guidance.","USCIS and EOIR policy conflicts regarding continuances and case management",1,"EOIR Director issues guidance to restrict continuances"
2,"Discusses updated NTA filing and scheduling standards between DHS and EOIR.","USCIS and EOIR policy conflicts regarding continuances and case management",2,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
0,"EOIR appearance form revisions are unrelated to continuances or case management conflicts.","USCIS and EOIR policy conflicts regarding continuances and case management",3,"DOJ requests comments on Form EOIR-27, Notice of Entry of Appearance before BIA"
1,Asylum interview preparation timing relates to USCIS case management broadly but not EOIR continuance conflicts specifically,USCIS and EOIR policy conflicts regarding continuances and case management,4,"Asylum seekers given less time to prepare for credible fear interviews"
1,Discusses USCIS discretionary adjudications broadly but not continuances or EOIR case management conflicts,USCIS and EOIR policy conflicts regarding continuances and case management,5,"USCIS updates policy on applying discretion in adjudications"
0,HHS benefit eligibility litigation is unrelated to premium processing scope or statutory authority,regulatory changes to premium processing scope and statutory authority expansion,1,"HHS issues notice excluding undocumented immigrants from additional federal benefits"
1,Discusses statutory parole authority and adjudication authority generally but not premium processing expansion specifically,regulatory changes to premium processing scope and statutory authority expansion,2,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,Credible fear interview directives are unrelated to premium processing authority expansion,regulatory changes to premium processing scope and statutory authority expansion,3,"Asylum seekers given less time to prepare for credible fear interviews"
2,Directly discusses USCIS statutory and discretionary adjudication authority relevant to premium processing authority questions,regulatory changes to premium processing scope and statutory authority expansion,4,"USCIS updates policy on applying discretion in adjudications"
0,TPS litigation and statutory interpretation are unrelated to premium processing expansion,regulatory changes to premium processing scope and statutory authority expansion,5,"DHS terminates Temporary Protected Status for Honduras"
1,Discusses immigrant visa fee exemptions and reconsideration procedures but not per-country limits directly,policy developments affecting immigrant visa backlogs and per country limits,1,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
1,Discusses coordination of visa implementation and enforcement but not immigrant visa backlogs or per-country caps specifically,policy developments affecting immigrant visa backlogs and per country limits,2,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
3,Directly discusses plans to clear immigrant visa backlogs and expedite pending visa adjudications,policy developments affecting immigrant visa backlogs and per country limits,3,"POTUS issues EO 13780, extending travel ban and instructing agencies to enhance screening of certain foreign nationals"
1,Discusses refugee admissions caps and resettlement funding rather than immigrant visa backlogs or per-country limits,policy developments affecting immigrant visa backlogs and per country limits,4,"State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S."
0,MPP litigation and hearing logistics are unrelated to immigrant visa backlogs or per-country limits,policy developments affecting immigrant visa backlogs and per country limits,5,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
0,Parole program litigation is unrelated to visa overstay tracking enforcement,DHS rulemaking and litigation regarding visa overstay tracking enforcement,1,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,Classified information handling procedures are unrelated to visa overstay tracking enforcement,DHS rulemaking and litigation regarding visa overstay tracking enforcement,2,"EOIR Acting Deputy Director issues guidance on the handling of classified information in EOIR proceedings"
1,Travel restriction enforcement relates to border entry screening broadly but not visa overstay tracking specifically,DHS rulemaking and litigation regarding visa overstay tracking enforcement,3,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
0,Asylum security bars based on communicable disease concerns are unrelated to visa overstay tracking enforcement,DHS rulemaking and litigation regarding visa overstay tracking enforcement,4,"EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility"
0,MPP litigation and non-refoulement screening procedures are unrelated to visa overstay tracking enforcement,DHS rulemaking and litigation regarding visa overstay tracking enforcement,5,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
