relevance,reason,query,rrf_rank,title,full_chunk_text,rrf_score,bm25_score,bm25_rank,faiss_score,faiss_rank
3,Exact match on border wall funding,border wall funding,1,White House FY2020 Budget Proposal includes $8.6 billion in border wall funding,"The President’s 2022 discretionary request provides $52.0 billion for DHS, approximately equal to the 2021 enacted level. It:  Invests in Effective and Modern Border Security. The discretionary request provides about $1.2 billion for border infrastructure which includes: modernization of land ports of entry; investments in modern border security technology and assets; and efforts to ensure the safe and humane treatment of migrants in CBP custody. These investments would facilitate more robust and effective security screening to guard against human smuggling and trafficking, the movement of illicit drugs and weapons, the entry of undocumented migrants, and the import of unlawful goods, as well as provide for the more efficient processing of legal trade, travel, and commerce through the Nation’s Land Ports of Entry. The discretionary request includes no additional funding for border wall construction and proposes the cancellation of prior-year balances that are unobligated at the end of 2021.  Supports a Humane and Efficient Immigration System. The discretionary request supports the promise of a fair and equitable immigration system that welcomes immigrants and reflects the Nation’s values. The discretionary request provides 16 $345 million for the United States Citizenship and Immigration Services to address naturalization and asylum backlogs, support up to 125,000 refugee admissions in 2022, and allow for systems and operations modernization. The discretionary request supports expanded access to the Alternatives to Detention program and provides enhanced case management services, particularly for families seeking asylum.",0.032787,17.374922,1,0.844263,1
2,Budget discussion clearly includes major wall funding though title emphasizes E-Verify,border wall funding,2,President Trump proposes cutting funding to E-Verify program,"*********************************** Border Security and Immigration Enforcement Funding by Year: FYs 2014 - 2020 ($ billions) 2014 2015 2016 2017 2018 2019 2020 PB CBP $10.6 $10.9 $11.2 $12.1 $14.0 $15.0 $18.2 ICE $5.3 $6.0 $5.8 $6.4 $7.1 $7.6 $8.8 EOIR $0.3 $0.3 $0.4 $0.4 $0.5 $0.6 $0.7 UAC $0.9 $0.9 $0.9 $1.2 $1.3 $1.3 $1.3 DOD - - - - - - $3.6 Total $17.1 $18.1 $18.3 $20.1 $22.9 $24.5 $32.6 Department of Homeland Security. Overall 2020 funding for U.S. Customs and Border Protection (CBP) ($18.2 billion) and U.S. Immigration and Customs Enforcement (ICE) ($8.8 billion) is 19 percent higher than the FY 2019 level. The Budget proposes sizable investments in a border wall; border security technology and equipment; funding to hire additional CBP and ICE law enforcement officers; and increased capacity to detain and deport illegal aliens. • The Budget requests $5.4 billion in high priority investments in border security technology, infrastructure, and equipment to help CBP prevent, detect, and interdict illegal border crossings. These investments include: o $5 billion for new border wall in locations identified by the Border Patrol as necessary to obtain operational control of the border and impede the flow of illegal crossings; and, o $367 million for aircraft, vessels, surveillance technology, and equipment to support the interdiction of illegal aliens, illicit drugs such as deadly fentanyl, and contraband across U.S. borders. • The Budget continues implementation of the President’s direction to hire 5,000 additional Border Patrol Agents and 10,000 ICE officers and investigators.",0.032258,16.803361,2,0.795547,2
0,OMB funding pause is unrelated to border wall funding,border wall funding,3,"OMB temporarily pauses agency grant, loan, and financial assistance programs","The potential $3 trillion in financial assistance implicated by the freeze is a “breathtakingly large sum of money to suspend practically overnight.” ECF No. 30, at 24. And “[r]ather than taking a measured approach to identify purportedly wasteful spending, Defendants cut the fuel supply to a vast, complicated, nationwide machine—seemingly without any consideration for the consequences of that decision.” Id. Doing so was not—and could never be—rational, especially when the decision was made without grappling with its catastrophic effects or the logistical nightmare of its implementation.10 See Bus. Roundtable v. Sec. & Exch. Comm’n, 647 F.3d 1144, 1148 (D.C. Cir. 2011) (explaining that an agency’s failure to “apprise itself . . . of the economic consequences” of potential action is “arbitrary and capricious and not in accordance with law” (quoting Chamber of Com. of the U.S. v. Sec. & Exch. Comm’n, 412 F.3d 133, 144 (D.C. 10 Both Defendants and Amicus argue that “[t]emporary funding pauses are not an unusual exercise of executive authority.” ECF No. 48, at 6; see ECF No. 47, at 26-28, 30-31. For support, they rely on President Biden’s pause of funding to the southern border wall, Proclamation No. 10,142, Termination of Emergency With Respect to the Southern Border of the United States and Redirection of Funds Diverted to Border Wall Construction, 86 Fed. Reg. 7225 (Jan. 20, 2021), and President Obama’s thirty-day delay of Recovery Act funds, Mem. No. E9-6754, Ensuring Responsible Spending of Recovery Act Funds, 74 Fed.",0.031258,15.079959,3,0.698681,5
1,Border policy related but not specifically about wall funding,border wall funding,4,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols","Prior to doing so, however, the Department ensured that these individuals received COVID-19 tests before crossing the border and entering the United States. The Department also worked in close partnership with nongovernmental organizations and local officials in border communities to connect migrants with short-term supports that facilitated their onward movement to final destinations away from the border. 100 The district court faulted the Secretary for not taking into account alleged warnings to members of the BidenHarris transition team by career DHS officials that terminating MPP would cause a spike in border encounters. Texas, 2021 WL 3603341, at *7. The Department is unaware of any such specific conversations, yet is aware of, and has taken into account, similar concerns raised by others. 101 See Texas, 2021 WL 3603341, at *9-10. 102 First Amended Complaint at 2, 38-39, Texas v. Biden, No. 2:21-cv-67 (N.D. Tex. filed June 3, 2021); see also Complaint, West Virginia v. Biden, No. 2:21-cv-22 (N.D. W.Va. filed Aug. 19, 2021); First Amended Complaint, Arizona v. Mayorkas, No. 2:21-cv-617 (D. Ariz. filed July 12, 2021). 24 In addition, the Secretary has devoted extensive resources on efforts designed to stop trafficking networks and protect border states from risks associated with criminal activity. Shortly after assuming office, the Secretary directed FEMA to increase funding for SWB law enforcement through FEMA’s Operation Stonegarden, a $90 million grant that supports law enforcement partners, with more than 80% of such funds being been directed to SWB areas.",0.031250,6.719308,4,0.708917,4
0,Refugee funding suspension is unrelated,border wall funding,5,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,"The “Refugee Funding Suspension” refers to the suspension of federal funding to USRAP nonprofit partners for their work processing refugee applications abroad and providing services to refugees domestically. USRAP nonprofit partners, including Plaintiff resettlement agencies, learned of the Refugee Funding Suspension on January 24, when PRM issued mass “Suspension Notices” directing resettlement agencies to immediately stop work, cancel obligations, and incur no new costs. Dkt. No. 31-3. Plaintiffs allege that, along with these Suspension Notices, the Refugee Funding Suspension also includes a sub silentio suspension, enacted without notice, of contractual reimbursements owed to USRAP partner nonprofits Case 2:25-cv-00255-JNW Document 45 Filed 02/28/25 Page 33 of 62 FINDINGS OF FACT, CONCLUSIONS OF LAW, AND ORDER ISSUING PRELIMINARY INJUNCTION - 34 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 for work already performed under cooperative agreements. See Dkt. No. 15-23 ¶¶ 46-47. The Court finds that these agency actions—the Agency Suspension and the Refugee Funding Suspension—are discrete enough to facilitate APA review. See Al Otro Lado, Inc. v. McAleenan, 394 F. Supp. 3d 1168, 1206–07 (S.D. Cal. 2019) (finding that unwritten, informal DHS policy limiting access to asylum at border was APA-reviewable); Washington v. U.S. DHS, 614 F. Supp. 3d 863, 872–73 (W.D. Wash. 2020) (same as to unwritten CBP policy of courthouse arrests of noncitizens). b. Agency Defendants cannot evade APA review merely by claiming they are implementing executive orders.",0.031025,5.924966,6,0.713725,3
3,Directly about refugee resettlement program operations and funding,refugee resettlement,1,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,"The Act also denies the Executive Case 1:25-cv-00465 Document 1 Filed 02/18/25 Page 13 of 35 14 Branch any authority to defer spending except for three specified reasons; it forbids deferrals based on policy disagreements with Congress. Id. § 684(b). III. USCCB’s Refugee-Resettlement Program And Cooperative Agreements 37. Each year since the enactment of the Refugee Act of 1980, USCCB has entered into agreements with the federal government to provide initial-resettlement services for refugees. USCCB receives and coordinates the distribution of PRM awards for initial resettlement through its Migration & Refugee Service. USCCB partners with subrecipients, most of whom are local Catholic Charities, across the United States to accomplish this work. These partners are strategically chosen in concert with the State Department and state refugee coordinators to achieve goals such as partnering with subrecipients in locations that will facilitate family reunification efforts. 38. Today, USCCB runs the largest non-governmental refugee-resettlement program in the United States. Resettlement Services, USCCB, (last visited Feb. 14, 2025) https://perma.cc/2DPN-M47N. USCCB currently serves approximately 17% of refugees being resettled in the United States. And since 1980, USCCB has provided refugee-resettlement services to more than 930,000 refugees. 39. In providing this assistance, USCCB has consistently devoted more resources than it receives in related federal funding. In 2023, for example, USCCB paid $4 million more on its refugee-resettlement and related programs than it received from the federal government.",0.032522,9.336521,2,0.797239,1
2,About freezing funds for refugee resettlement programs despite broader OMB framing,refugee resettlement,2,"OMB temporarily pauses agency grant, loan, and financial assistance programs","114. HHS’s unilateral executive action to withhold or freeze funds appropriated by Congress for the refugee resettlement programs thus unconstitutionally infringes on Congress’s spending and appropriations powers. 115. Because HHS has arbitrarily and capriciously refused to provide the refugee resettlement program federal grants—effectively terminating the programs—the County is entitled to the declaratory and injunctive relief sought here. Case 1:25-cv-01058 Document 1 Filed 04/08/25 Page 29 of 33 30 PRAYER FOR RELIEF WHEREFORE, Plaintiff Harris County prays that this Court: 1. Declare that HHS’s sub silentio cancellation of congressional appropriations for the refugee resettlement programs, as applied to the County, is contrary to law under the APA; 2. Declare that HHS’s sub silentio cancellation of congressional appropriations for the refugee resettlement programs , as applied to the County, is arbitrary and capricious under the APA; 3. Declare that HHS’s sub silentio cancellation of congressional appropriations for to provide the refugee resettlement programs , as applied to the County, is in violation of the U.S. Constitution’s separation of powers; 4. Hold as unlawful and set aside HHS’s actions regarding the refugee resettlement program grants, as applied to the County; 5. Enjoin—temporarily, preliminarily, and permanently—HHS from taking any action enforcing or implementing against the County any effective cancellation of the refugee resettlement program, including cancellation of any appropriations for the refugee resettlement programs before the end of the period authorized by Congress; and 6.",0.032522,9.603986,1,0.781207,2
3,Directly about transferring initial refugee resettlement grants and contracts,refugee resettlement,3,President Trump transfers grant-making authority for initial resettlement grants and contracts from DOS to ORR,"Presidential Documents 49007 Federal Register / Vol. 90, No. 209 / Friday, October 31, 2025 / Presidential Documents Presidential Determination No. 2025–14 of September 30, 2025 Presidential Determination on Transferring the United States Program of Initial Refugee Resettlement Memorandum for the Secretary of State [and] the Secretary of Health and Human Services By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 412(b)(1) of the Immigration and Nationality Act (8 U.S.C. 1522(b)(1)), it is hereby ordered: Refugee resettlement must be conducted in a manner that serves the national interest, promotes efficient use of taxpayer dollars, protects the integrity of the United States immigration system, and supports refugees in achieving early economic self-sufficiency and assimilation into American society. Centralizing the responsibilities for all domestic resettlement under one executive department or agency (agency) eliminates unnecessary duplication and ensures that refugee resettlement is closely coordinated with State and local jurisdictions, to the extent permitted by law and as practicable. I have determined that the administration of the program of initial resettlement grants and contracts, which are awarded to public or private nonprofit agencies for initial resettlement services for refugees coming to the United States, shall be transferred to the Department of Health and Human Services, Office of Refugee Resettlement.",0.031746,9.139080,3,0.774098,3
2,Directly about refugee referrals and the refugee admissions pipeline,refugee resettlement,4,Foreign Affairs Manual section on Referrals for Refugee Status updated to remove references to transgender and intersex individuals,"UNCLASSIFIED (U) 9 FAM 203.4 REFERRALS FOR REFUGEE STATUS (CT:VISA-2131; 02-26-2025) (Office of Origin: CA/VO) 9 FAM 203.4-1 REQUESTS FOR REFUGEE OR ASYLUM, REFERRALS OVERVIEW (CT:VISA-1995; 05-29-2024) a. Priority 1 (P-1) refugee cases include all cases individually identified and referred to the U.S. Refugee Admissions Program (USRAP) by the United Nations High Commissioner for Refugees (UNHCR), a U.S. embassy (see 9 FAM 203.4-2), or a non-governmental organization (see paragraph d below). b. In most instances, persons potentially in need of protection are served by UNHCR, which has an international mandate for refugee protection, and which may refer the individuals for third country resettlement. c. Requests at U.S. Missions: Individuals seeking temporary refuge or asylum in the United States sometimes approach diplomatic missions directly. (1) If someone approaches U.S. Government agency representatives seeking such assistance, missions should see the guidance in: (a) 2 FAM 227, Requests for Asylum by Foreign Nationals; (b) 2 FAM 227.2 paragraph b, Handling Asylum Requests by Persons Within Foreign Jurisdictions; and (c) Refer to the most recent walk-in guidance cable for Diplomatic and Consular Establishments. (2) In general, refugees seeking third-country resettlement should be referred to the host government or the nearest representative of the United Nations High Commissioner for Refugees (UNHCR) for information or assistance. The international community has given UNHCR the responsibility to protect refugees worldwide.",0.031010,7.849234,4,0.750270,5
1,Firm resettlement doctrine is related but not refugee resettlement programming,refugee resettlement,5,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility,"29, 2011] § 208.15 Definition of ‘‘firm resettlement.’’ An alien is considered to be firmly resettled if, prior to arrival in the United States, he or she entered into another country with, or while in that country received, an offer of permanent resident status, citizenship, or some other type of permanent resettlement unless he or she establishes: (a) That his or her entry into that country was a necessary consequence of his or her flight from persecution, that he or she remained in that country only as long as was necessary to arrange onward travel, and that he or she did not establish significant ties in that country; or (b) That the conditions of his or her residence in that country were so substantially and consciously restricted by the authority of the country of refuge that he or she was not in fact resettled. In making his or her determination, the asylum officer or immigration judge shall consider the conditions under which other residents of the country live; the type of housing, whether permanent or temporary, made available to the refugee; the types and extent of employment available to the refugee; and the extent to which the refugee received permission to hold property and to enjoy other rights and privileges, such as travel documentation that includes a right of entry or reentry, education, public relief, or naturalization, ordinarily available to others resident in the country. [65 FR 76135, Dec. 6, 2000] § 208.16 Withholding of removal under section 241(b)(3)(B) of the Act and withholding of removal under the Convention Against Torture.",0.030777,7.625769,6,0.751507,4
3,Exact match on the public charge rule,public charge rule,1,USCIS issues final rule on public charge inadmissibility grounds,"Public Charge USCIS is no longer applying the August 2019 Public Charge Final Rule. As a consequence, among other changes, USCIS will apply the public charge inadmissibility statute consistent with the 1999 Interim Field Guidance. In other words, USCIS is not considering an applicant’s receipt of Medicaid (except for long-term institutionalization at the government’s expense), public housing, or Supplemental Nutrition Assistance Program (SNAP) benefits as part of the public charge inadmissibility determination. Background On Nov. 2, 2020, the U.S. District Court for the Northern District of Illinois vacated the Inadmissibility on Public Charge Grounds final rule (84 Fed. Reg. 41,292 (Aug. 14, 2019)), as amended by Inadmissibility on Public Charge Grounds; Correction, 84 Fed. Reg. 52,357 (Oct. 2, 2019) (Public Charge Final Rule) nationwide. That decision was stayed by the U.S. Court of Appeals for the Seventh Circuit. On March 9, 2021, the Seventh Circuit lifted its stay and the U.S. District Court for the Northern District of Illinois’ order vacating the Public Charge Final Rule went into effect. When the vacatur went into effect, USCIS immediately stopped applying the Public Charge Final Rule to all pending applications and petitions that would have been subject to the rule. USCIS continues to apply the public charge inadmissibility statute, including consideration of the statutory minimum factors in the totality of the circumstances, in accordance with the 1999 Interim Field Guidance that was in place before the Public Charge Final Rule was implemented.",0.032787,15.442480,1,0.807503,1
