label,label_reason,query,rank,rrf_score,title,agencies_affected,subject_matter,full_chunk_text
,,naturalization processing delays policy,1,0.032522,USCIS redesigns processing times webpage and tests new way of calculating processing times,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other"", ""Naturalization""]","USCIS launches a website pilot to display processing time data in an easier-to-read format and also tests a new way of collecting data and calculating the processing times for Form N-400 (Naturalization), Form I-90 (Replace Permanent Resident Card), Form I-485 (Register Permanent Residence or Adjust Status), and Form I-751 (Remove Conditions on Residence). The updated website shows the time it takes to complete 50 percent of cases, and the time it takes to complete 93 percent of cases. [ID #875]"
,,naturalization processing delays policy,2,0.030679,Reports that U.S. Army is discharging immigrant recruits,"[""Department of Defense""]","[""Unspecified/Other""]","108–136, div. A, title XVII, §1701(a), (b)(1), (c)(1)(A), (f), Nov. 24, 2003, 117 Stat. 1691 , 1692; Pub. L. 110– 382,§3(a), Oct. 9, 2008, 122 Stat. 4088 .) AMENDMENTS 2008­Subsecs. (g), (h). Pub. L. 110–382, §§3(a), 4, temporarily added subsecs. (g) and (h) which related to processing and adjudication of applications for naturalization and required annual reports to Congress on failures to process and adjudicate certain applications within 1 year of filing due to delays in conducting required background checks. See Termination Date of 2008 Amendment note below. 2003­Subsec. (a). Pub. L. 108–136, §1701(a), substituted ""one year,"" for ""three years,"". Subsec. (b)(3). Pub. L. 108–136, §1701(f), substituted ""Secretary of Homeland Security"" for ""Attorney General"". Pub. L. 108–136, §1701(b)(1)(A), substituted ""honorable (the"" for ""honorable. The"" and ""discharge); and"" for ""discharge."" Subsec. (b)(4). Pub. L. 108–136, §1701(b)(1)(B), added par. (4). Subsec. (f). Pub. L. 108–136, §1701(c)(1)(A), added subsec. (f). 1991­Subsecs. (b), (c). Pub. L. 102–232 amended directory language of Pub. L. 101–649, §407(d)(8). See 1990 Amendment notes below. 1990­Subsec. (a). Pub. L. 101–649, §407(b)(4)(A), (c)(10), substituted ""State or district of the Service in the United States"" for ""State"", ""for at least three months"" for ""for at least six months"", and references to applicant and application for references to petitioner and petition wherever appearing. Subsec. (b). Pub. L. 101–649, §407(b)(4)(B), (c)(10), (d)(8), as amended by Pub. L. 102–232, substituted ""within a State or district of the Service in the United States"" for ""within the jurisdiction of the court"" in par. (1), ""any hearing"" for ""the final hearing"" in par. (3), and references to applicant and application for references to petitioner and petition wherever appearing."
,,naturalization processing delays policy,3,0.030090,Asylum seekers given less time to prepare for credible fear interviews,"[""U.S. Citizenship and Immigration Services""]","[""Asylum, Withholding and CAT""]","The memorandum’s concluding paragraph, repeated both rationales, stating: Given the critical need [at the Southwestern border], coupled with the improvements made to the M-444[,] which makes the [credible-fear] process easier for aliens to understand, [the acting USCIS Director has] decided to reduce the timeframe for consultation to one full calendar day at both the FRCs and all other facilities. In practice, this means individuals will have longer than 24 hours to consult depending on when they arrive at the facility. Reducing the time period for consultation could lead to longer delays at a later point in the process for some cases, as USCIS may receive more frequent requests to reschedule interviews. However, USCIS is also establishing a new policy of requiring extraordinary circumstances warranting approval of a request to reschedule so that USCIS can ensure, consistent with the statute, that the consultation period does not unreasonably delay the overall process. AR 114. On July 8, 2019, USCIS updated its “Credible Fear Procedures Manual” to reflect the policy changes announced in the memorandum. AR 115–17. The updated manual notes that it is now the policy of “the Asylum Program to allow a minimum of one full calendar day to transpire between the arrival of an alien at a detention site or receipt of initial M-444 (whichever is later) and any credible[-]fear interview.” AR 117. It further states that “[i]f USCIS is prepared to proceed with the interview after the consultation period has passed, asylum offices normally will deny requests for extensions of the consultation period, ."
,,naturalization processing delays policy,4,0.029762,EOIR Acting Deputy Director rescinds prior guidance on naturalization oath ceremonies,"[""Executive Office for Immigration Review""]","[""Naturalization"", ""Unspecified/Other""]","EOIR Acting Deputy Director Roman Chaban issued Policy Memorandum (PM) 25-52, rescinding and canceling Operating Policies and Procedures Memorandum (OPPM) 97-8, Naturalization Oath Ceremonies. The OPPM, issued under the Clinton administration, provided procedures for immigration judges administering the Oath of Allegiance in administrative naturalization ceremonies. The PM claims that, as the OPPM is over twenty-five years old, it contains several procedures and references that are outdated. It also notes that the guidance has become unnecessary, as Immigration Courts are not performing naturalization ceremonies. To the extent that an Immigration Court wishes to conduct a naturalization ceremony in conjunction with DHS, it states that EOIR “will address those situations on a case-by-case basis going forward.” Trump 2.0 [ID #2026]"
,,naturalization processing delays policy,5,0.029418,EOIR Director issues guidance to restrict continuances,"[""Executive Office for Immigration Review""]","[""Unspecified/Other""]","OOD DM 22-05 Issued: Apr. 18, 2022 Effective: Immediately CANCELLATION OF POLICY MEMORANDA 19-05, 21-06, AND 21-13 PURPOSE: Rescind and cancel Policy Memoranda 19-05, 21-06, and 2113 OWNER: David L. Neal, Director AUTHORITY: 8 C.F.R. § 1003.0(b) CANCELLATION: Policy Memorandum 19-05 Policy Memorandum 21-06 Policy Memorandum 21-13 As EOIR continues to review existing agency policies and practices, the following Policy Memoranda (PM) are rescinded: 1. PM 19-05, Guidance Regarding the Adjudication of Asylum Applications Consistent with INA § 208(d)(5)(A)(iii) 2. PM 21-06, Asylum Processing 3. PM 21-13, Continuances Please contact your supervisor if you have any questions."
,,USCIS fee rule changes,1,0.031498,DOS implements $1 fee for Diversity Visa Lottery,"[""Bureau of Consular Affairs"", ""Unspecified/Other""]","[""Diversity""]","The Department of State (DOS) issued a final rule establishing a $1 fee to enter the Diversity Visa Lottery. Previously, there was no cost. The new fee will take effect on October 16, 2025, and will be payable at registration. The $1 fee is in addition to a $330 application fee paid by lottery winners who apply for a Diversity Visa. DOS predicts that the new fee will bring in $25 million annually. Trump 2.0 [#1988]"
,,USCIS fee rule changes,2,0.031498,USCIS issues final rule on public charge inadmissibility grounds,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other""]","Public Charge USCIS is no longer applying the August 2019 Public Charge Final Rule. As a consequence, among other changes, USCIS will apply the public charge inadmissibility statute consistent with the 1999 Interim Field Guidance. In other words, USCIS is not considering an applicant’s receipt of Medicaid (except for long-term institutionalization at the government’s expense), public housing, or Supplemental Nutrition Assistance Program (SNAP) benefits as part of the public charge inadmissibility determination. Background On Nov. 2, 2020, the U.S. District Court for the Northern District of Illinois vacated the Inadmissibility on Public Charge Grounds final rule (84 Fed. Reg. 41,292 (Aug. 14, 2019)), as amended by Inadmissibility on Public Charge Grounds; Correction, 84 Fed. Reg. 52,357 (Oct. 2, 2019) (Public Charge Final Rule) nationwide. That decision was stayed by the U.S. Court of Appeals for the Seventh Circuit. On March 9, 2021, the Seventh Circuit lifted its stay and the U.S. District Court for the Northern District of Illinois’ order vacating the Public Charge Final Rule went into effect. When the vacatur went into effect, USCIS immediately stopped applying the Public Charge Final Rule to all pending applications and petitions that would have been subject to the rule. USCIS continues to apply the public charge inadmissibility statute, including consideration of the statutory minimum factors in the totality of the circumstances, in accordance with the 1999 Interim Field Guidance that was in place before the Public Charge Final Rule was implemented."
,,USCIS fee rule changes,3,0.031319,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Bureau of Consular Affairs""]","[""Unspecified/Other""]","9645 or 9983 and additional refusal grounds. These applicants are not eligible for the fee exemption, unless a consular ofﬁcer had previously determined that the refusal on other grounds had been overcome and the only impediment to issuance of an IV on January 20, 2021, was due to P.P. 9645 or 9983. My visa application was refused based solely on Presidential Proclamation 9645 or 9983, but my visa application was refused after January 20, 2020. Am I still eligible for the fee exemption? Although this ﬁnal rule does not apply to IV applicants who were refused on or after January 20, 2020, Department regulations at 22 C.F.R. Immigrant Visa Fee Exemption for Applicants Previously Refused under... https://travel.state.gov/content/travel/en/News/visas-news/iv-fee-exempti... 3 of 4 1/31/22, 10:26 AM within the prior year to be reconsidered under 22 C.F.R. 42.81(e) without a new application fee. My DV-2020 application was refused pursuant to Presidential Proclamation 9645 or 9983. Am I exempted from paying a new fee? Generally, U.S. law requires diversity visa (DV) selectees to obtain a DV before the end of the ﬁscal year (i.e. September 30) for which they were selected. For that reason, DV selectees from the 2017, 2018, and 2019 program years are not eligible to make a new application and cannot beneﬁt from this rule. However, the Department of State is aware of a court order in Gomez v. Trump regarding the reservation and adjudication of DV-2020 diversity visas by September 30, 2022. A DV-2020 applicant who was refused solely under Presidential Proclamation 9645 or 9983 may beneﬁt from the fee exception provision discussed here. We will publish additional public guidance regarding the Department’s compliance with the Gomez court order as it becomes available here: https://travel.state.gov/content/travel /en/News/visas-news/diversity-visa-2020-and-2021updates.html. DV applicants from the 2021 program year cannot beneﬁt as they would have been refused after January 20, 2020; the fee exemption only applies to those refused on January 19, 2020, or earlier."
,,USCIS fee rule changes,4,0.031281,USCIS updates policy on applying discretion in adjudications,[],[],"Home > Policy Manual Chapter 5 - Discretion Guidance Resources (8) Appendices (0) Updates (3) ! Alert On September 11, 2020, the U.S. District Court for the District of Maryland in Casa de Maryland et al v. Chad Wolf provided limited injunctive relief to members of two organizations, CASA de Maryland (CASA) and the Asylum Seeker Advocacy Project (ASAP), in the application of the Asylum Application, Interview, and Employment Authorization for Applicants Rule to Form I-589s and Form I-765s filed by asylum applicants who are also members of CASA or ASAP. Therefore, while the rule is preliminarily enjoined, we will continue to apply the prior regulatory language and exempt from discretion CASA and ASAP members who file a Form I-765 based on an asylum application. A. Discretionary Authority and Applicability While employment authorization for certain aliens is automatic or non-discretionary by virtue of their immigration status, other aliens must aﬀirmatively apply for employment authorization and USCIS may grant employment authorization as a matter of discretion. The regulations outlined at 8 CFR 274a.12(c) specify categories of aliens who must apply for employment authorization and may be granted employment authorization as a matter of discretion; these aliens are referred to in this chapter as Category C applicants. For those Category C applicants seeking both employment authorization and an employment authorization document (EAD), the applicant must generally file an Application for Employment Authorization (Form I-765) with USCIS with the appropriate fee (unless waived), and in accordance with the form instructions."
,,USCIS fee rule changes,5,0.031054,"USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)","[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other""]","Supporting evidence is not required, but USCIS will accept and review any documentation submitted. You do not need to include other household members’ financial information to establish economic necessity. NOTE: You are also required to provide the applicable filing fee when requesting employment authorization, with the exception of those requesting employment authorization based on a grant of SIJ deferred action. A request for employment authorization for those with SIJ deferred action is fee exempt. Requesting employment authorization upon a grant of deferred action using the Form G-325A is an alternative to submitting a separate Form I-765, Application for Employment Authorization, under the (c)(14) employment authorization category and subject to the General Filing fee category. If you would like to submit a fee waiver request for the employment authorization, you may file Form I-912, Request for Fee Waiver, with this application. Instructions are available at: www.uscis.gov/i-912. Failure to submit the appropriate fee or a fee waiver request could result in USCIS denying your request for employment authorization. Part 4. Social Security Card If you select “Yes” in Part 3. Employment Authorization, Item Number 1., you must complete Item Numbers 1. – 3. You must have a Social Security Number (SSN) properly assigned in your name to work in the United States. However, you are not 7 required to request a social security card using this request. If you want a Social Security Card, follow the instructions below."
,,diversity visa lottery policy changes,1,0.032787,DOS implements $1 fee for Diversity Visa Lottery,"[""Bureau of Consular Affairs"", ""Unspecified/Other""]","[""Diversity""]","The Department of State (DOS) issued a final rule establishing a $1 fee to enter the Diversity Visa Lottery. Previously, there was no cost. The new fee will take effect on October 16, 2025, and will be payable at registration. The $1 fee is in addition to a $330 application fee paid by lottery winners who apply for a Diversity Visa. DOS predicts that the new fee will bring in $25 million annually. Trump 2.0 [#1988]"
,,diversity visa lottery policy changes,2,0.031754,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Bureau of Consular Affairs""]","[""Unspecified/Other""]","1153(c). Such a suspension represents a less severe limit compared to a general restriction on immigrant visas, given the significantly fewer number of aliens awected. The Acting Secretary of Homeland Security considers foreign-government-supplied information especially important for screening and vetting the Diversity Visa population in comparison to other immigrant visa 2/2/2020 Proclamation on Improving Enhanced Vetting Capabilities and Processes for Detecting Attempted Entry | The White House https://www.whitehouse.gov/presidential-actions/proclamation-improving-enhanced-vetting-capabilities-processes-detecting-attempted-entry/ 7/14 applicants, and I agree with that assessment. In many cases, the United States Government may not have the same amount of information about Diversity Visa applicants compared with other categories of immigrant visa applicants because Diversity Visa applicants, with limited exceptions, do not have the burden to show certain family ties to or employment in the United States, or particular service to the United States Government, as required for other immigrant visa categories. Consistent with the January 2020 proposal, I have decided not to impose any restrictions on certain Special Immigrant Visas for nationals of the six newly identified countries. Applicants under Special Immigrant programs generally do not need to demonstrate the same work or familial ties as other immigrant visas, but do need to show other unique qualifications. This exception is intended to cover those Special Immigrants who have advanced United States interests (and their eligible family members), such as foreign nationals who have worked for a United States Embassy for 15 years or more and are especially deserving of a visa."
,,diversity visa lottery policy changes,3,0.030777,HHS issues notice excluding undocumented immigrants from additional federal benefits,"[""Unspecified/Other""]","[""Unspecified/Other""]","Unlike the January 21 Anti-DEI Order and the April 16 DEIA Certification, the March 14 DEI Letter does not limit the prohibition to diversity, equity, and inclusion initiatives that are purportedly “illegal.” 259. Indeed, agencies have been given conflicting information by HHS about what is covered by the March 14 DEI Letter on “diversity, equity, and inclusion initiatives.” For example, while Wisconsin HSA members were generally not provided guidance on how to amend their grant applications to remove references to “DEI” from their grant applications, 58 HHS Grants Policy Statement, DEP’T. OF HEALTH AND HUM. SERV’S., at 18, (Apr. 16, 2025), https://www.hhs.gov/sites/default/files/hhs-grants-policy-statement-april-2025.pdf (reflecting HHS policies based on 45 C.F.R. part 75 and 2 C.F.R. part 200). Case 2:25-cv-00781-RSM Document 78 Filed 07/15/25 Page 72 of 261 Case 2:25-cv-00781-RSM Document 103 Filed 08/19/25 Page 66 of 122 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 SECOND AMENDED COMPLAINT - 67 A.C.L.U. OF WASHINGTON 2:25-CV-00781-RSM PO BOX 2728 SEATTLE, WA 98111-2728 (206) 624-2184 at least one member received a list of words from their Program Specialist containing words President Trump “is making disappear.” The agency expressed the impossibility of being able to remove all of the listed words while still maintaining the content of their mandated programming, so they removed only a handful of the listed words. Their application has yet to be approved, and they remain in fear that that they will have to do additional edits and changes that may affect the substance of their programming or be punished for not having their grant renewed."
,,diversity visa lottery policy changes,4,0.030159,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols","[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]","Moreover, the Secretary has his own independent and significant concerns about the prior implementation of MPP, including concerns about the safety and security of those returned to Mexico, deficiencies in the non-refoulement interview process, barriers to access to counsel, and the ways in which reimplementation of MPP would divert from other Administration goals and result in significant burdens for the Department that would limit DHS’s opportunities to make other needed reforms consistent with this Administration’s policy priorities. In light of these concerns, the Secretary has decided not to resume MPP in precisely the same form as it previously existed, even if were a viable option. As an alternative, the Secretary considered a modified implementation and enforcement plan, in the manner that the Administration is planning to start doing in the coming weeks— pending an independent decision by the GOM to facilitate returns—in order to comply with the district court’s order. As the Department moves to reimplement, it is making changes to account for GOM’s concerns—changes which are designed to better protect individuals returned to Mexico and ensure, among other things, timely and accurate notice about court hearings. In addition, the Department is evaluating what changes could be made to address the issues raised in the Red Team Report, to include changes announced by the December 2020 supplementary guidance to better ensure family unity, access to counsel during non-refoulement interviews, and assessment of vulnerability."
