relevance,reason,query,rank,title
2,"Discusses CBP screening procedures and admissibility-related fear screening processes under MPP.","CBP inspection and admissibility policy changes",1,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
3,"Directly concerns CBP inspection, inadmissibility findings, advance parole validity, and expedited removal.","CBP inspection and admissibility policy changes",2,"DHS deports DACA recipient returning with advance parole"
2,"Public charge inadmissibility guidance directly affects admissibility policy, though not CBP inspections specifically.","CBP inspection and admissibility policy changes",3,"USCIS issues final rule on public charge inadmissibility grounds"
0,"ORR sponsor and background check policies are unrelated to CBP inspection and admissibility.","CBP inspection and admissibility policy changes",4,"ORR requires Director-level authorization of custodial releases of certain unaccompanied children"
1,"CHNV parole process changes affect admissions and parole broadly, but not CBP inspection standards directly.","CBP inspection and admissibility policy changes",5,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
1,"Discusses visa restrictions and illegal migration enforcement, but not visa overstay enforcement specifically.","changes to visa overstay enforcement policies",1,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration"""
1,"Discusses screening and vetting standards for immigration benefits, but not visa overstay enforcement directly.","changes to visa overstay enforcement policies",2,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,"MPP asylum and border processing changes are unrelated to visa overstay enforcement.","changes to visa overstay enforcement policies",3,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
1,"Travel ban entry restrictions relate to visas generally, but not visa overstay enforcement policy.","changes to visa overstay enforcement policies",4,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
0,"ORR custodial release policies are unrelated to visa overstay enforcement.","changes to visa overstay enforcement policies",5,"ORR requires Director-level authorization of custodial releases of certain unaccompanied children"
1,"Mentions administrative processing fees for nationality/passport matters, but not delays in consular processing policy.","administrative processing delays consular policy",1,"State Department issues final rule implementing Adoptive Family Relief Act"
2,"Discusses consular processing requirements and immigrant visa procedures relevant to administrative processing.","administrative processing delays consular policy",2,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
1,"Continuance guidance can indirectly affect immigration processing timelines, but not consular administrative processing specifically.","administrative processing delays consular policy",3,"EOIR Director issues guidance to restrict continuances"
0,"Visa restriction announcements are unrelated to administrative processing delays.","administrative processing delays consular policy",4,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration"""
0,"Refugee resettlement funding suspension is unrelated to consular administrative processing delays.","administrative processing delays consular policy",5,"State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S."
3,"Directly discusses Pereira stop-time rule and cancellation of removal eligibility.","changes to cancellation of removal eligibility standards",1,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
2,"Discusses adjustment eligibility while cancellation applications are pending; relevant but not centered on cancellation standards.","changes to cancellation of removal eligibility standards",2,"EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA"
1,"Asylum eligibility and public-health bars are only tangentially related to cancellation of removal standards.","changes to cancellation of removal eligibility standards",3,"EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility"
2,"Explicitly discusses continuances involving cancellation of removal applications and statutory caps.","changes to cancellation of removal eligibility standards",4,"EOIR Director issues guidance to restrict continuances"
0,"Federal benefits eligibility directives are unrelated to cancellation of removal standards.","changes to cancellation of removal eligibility standards",5,"HHS issues notice excluding undocumented immigrants from additional federal benefits"
3,"Directly discusses denial of administrative closure requests in immigration proceedings.","DHS policy on administrative closure immigration court",1,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
1,"MPP reinstatement affects removal proceedings broadly but not administrative closure policy specifically.","DHS policy on administrative closure immigration court",2,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
0,"Parole policy review memo is unrelated to immigration court administrative closure.","DHS policy on administrative closure immigration court",3,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,"Classified information handling guidance is unrelated to administrative closure policy.","DHS policy on administrative closure immigration court",4,"EOIR Acting Deputy Director issues guidance on the handling of classified information in EOIR proceedings"
0,"Public charge inadmissibility guidance is unrelated to administrative closure policy.","DHS policy on administrative closure immigration court",5,"USCIS issues final rule on public charge inadmissibility grounds"
3,"Directly references adjustment of status discretion under INA 245(a), including related waivers and procedures.","USCIS policy changes affecting adjustment of status under INA 245(a) and 245(k)",1,"USCIS updates policy on applying discretion in adjudications"
2,"Public charge inadmissibility guidance directly affects adjustment applicants under INA 245.","USCIS policy changes affecting adjustment of status under INA 245(a) and 245(k)",2,"USCIS issues final rule on public charge inadmissibility grounds"
3,"Directly discusses adjustment of status eligibility and procedures despite removal orders.","USCIS policy changes affecting adjustment of status under INA 245(a) and 245(k)",3,"EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA"
2,Directly changes adjustment of status medical examination requirements for applicants under INA 245,USCIS policy changes affecting adjustment of status under INA 245(a) and 245(k),4,"USCIS waives COVID-19 vaccination requirement for Adjustment of Status applicants"
1,Employment authorization extension policy affects some adjustment applicants but not INA 245 eligibility standards directly,USCIS policy changes affecting adjustment of status under INA 245(a) and 245(k),5,"DHS Ends Automatic Extension of Employment Authorization Documents"
1,Discusses visa processing resumption during COVID but not visa bulletin retrogression policy,evolution of visa bulletin movement and retrogression policy since 2015,1,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
0,Travel ban vetting and screening procedures are unrelated to visa bulletin movement or retrogression,evolution of visa bulletin movement and retrogression policy since 2015,2,"POTUS issues EO 13780, extending travel ban and instructing agencies to enhance screening of certain foreign nationals"
0,Visa restrictions for foreign officials are unrelated to visa bulletin retrogression policy,evolution of visa bulletin movement and retrogression policy since 2015,3,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration"""
2,Directly discusses visa availability timing and continuances based on visa priority dates,evolution of visa bulletin movement and retrogression policy since 2015,4,"EOIR Director issues guidance to restrict continuances"
0,Travel ban enforcement guidance is unrelated to visa bulletin movement or retrogression,evolution of visa bulletin movement and retrogression policy since 2015,5,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
3,Directly establishes and explains the public charge inadmissibility rule enforcement framework,litigation impacting public charge inadmissibility rule enforcement timeline,1,"USCIS issues final rule on public charge inadmissibility grounds"
1,Discusses court-ordered restoration of refugee processing rather than public charge litigation timelines,litigation impacting public charge inadmissibility rule enforcement timeline,2,"State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S."
1,Concerns litigation over federal benefits eligibility but not public charge inadmissibility enforcement specifically,litigation impacting public charge inadmissibility rule enforcement timeline,3,"HHS issues notice excluding undocumented immigrants from additional federal benefits"
0,Parole program termination guidance is unrelated to public charge litigation timelines,litigation impacting public charge inadmissibility rule enforcement timeline,4,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,Attorney sanctions memorandum is unrelated to public charge inadmissibility litigation,litigation impacting public charge inadmissibility rule enforcement timeline,5,"President issues memoranda targeting immigration lawyers with sanctions for alleged misconduct"
1,Discusses DHS coordination and COVID border processing logistics but not consular processing specifically,DHS and DOS coordination policies for consular processing during COVID,1,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
3,Directly discusses embassy and consular coordination for visa processing resumption during COVID,DHS and DOS coordination policies for consular processing during COVID,2,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
2,Directly discusses DHS and DOS coordination on screening and vetting procedures related to immigration processing,DHS and DOS coordination policies for consular processing during COVID,3,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
