relevance,reason,query,rank,title
1,Visa restriction authority overlaps with consular operations but not COVID processing suspensions specifically,consular processing suspension COVID policy,5,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration"""
1,Discusses reconsideration of visa refusals and fee waivers rather than interview waiver policy itself,visa interview waiver policy changes,1,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
1,Concerns resumption of visa processing and reconsideration procedures but not interview waiver rules specifically,visa interview waiver policy changes,2,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
0,Credible fear interview timing for asylum seekers is unrelated to consular visa interview waiver policy,visa interview waiver policy changes,3,Asylum seekers given less time to prepare for credible fear interviews
2,Discusses visa processing resumption and waiver adjudication procedures related to prior travel restrictions,visa interview waiver policy changes,4,"POTUS issues EO 13780, extending travel ban and instructing agencies to enhance screening of certain foreign nationals"
0,MPP reimplementation and non-refoulement interview procedures are unrelated to visa interview waiver policies,visa interview waiver policy changes,5,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
1,Refugee medical assistance programs concern healthcare coverage rather than immigration medical examination requirements,immigration medical exam requirements policy,1,"OMB temporarily pauses agency grant, loan, and financial assistance programs"
3,Directly changes immigration medical examination vaccination requirements for adjustment applicants,immigration medical exam requirements policy,2,USCIS waives COVID-19 vaccination requirement for Adjustment of Status applicants
2,Directly references refugee medical exams and medical exam result processing,immigration medical exam requirements policy,3,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.
0,Classified information procedures in EOIR proceedings are unrelated to immigration medical examination requirements,immigration medical exam requirements policy,4,EOIR Acting Deputy Director issues guidance on the handling of classified information in EOIR proceedings
1,Mentions healthcare consequences tied to TPS termination but not immigration medical examination policy,immigration medical exam requirements policy,5,DHS terminates Temporary Protected Status for Honduras
2,Directly references SIJ admissibility and waiver requirements in USCIS policy guidance,special immigrant juvenile status SIJS policy,1,USCIS updates policy on applying discretion in adjudications
3,Directly proposes eliminating the Special Immigrant Juvenile deferred action category,special immigrant juvenile status SIJS policy,2,"USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)"
1,Mentions SIJ status only incidentally within broader MPP and immigration relief discussion,special immigrant juvenile status SIJS policy,3,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
2,Directly discusses SIJs as exempt from public charge inadmissibility rules,special immigrant juvenile status SIJS policy,4,"USCIS issues final rule on public charge inadmissibility grounds"
1,Concerns special immigrant visas generally but not SIJS specifically,special immigrant juvenile status SIJS policy,5,"DOS proposes revisions to Form DS-234, Special Immigrant Visa Biodata"
3,Directly explains TPS designation continuation termination and statutory eligibility criteria,TPS designation criteria policy,1,DHS terminates Temporary Protected Status for Honduras
0,ORR placement and detention procedures are unrelated to TPS designation criteria,TPS designation criteria policy,2,ORR requires Director-level authorization of custodial releases of certain unaccompanied children
2,Directly discusses extensions and terminations of TPS designations for Venezuelans and Haitians,TPS designation criteria policy,3,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,HHS grant designation rules are unrelated to TPS designation criteria,TPS designation criteria policy,4,HHS issues notice excluding undocumented immigrants from additional federal benefits
0,EOIR accreditation procedures are unrelated to TPS designation criteria,TPS designation criteria policy,5,"EOIR proposes revisions to Form EOIR-31A, Request for Accreditation of Non-Attorney Representative"
3,Directly discusses visa application fee exemptions and waiver eligibility after travel ban rescission,immigration fee waiver eligibility policy,1,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
2,Directly explains reduced fee eligibility criteria and exemptions for immigration petitions,immigration fee waiver eligibility policy,2,USCIS allows processing of H-2A petitions for unnamed beneficiaries prior to labor certification approval
3,Directly discusses fee waivers and fee-exempt employment authorization requests,immigration fee waiver eligibility policy,3,"USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)"
2,Substantively discusses reopening immigrant visa cases without requiring additional processing fees,immigration fee waiver eligibility policy,4,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
1,Mentions filing fees and fee waiver requests only incidentally within broader parole termination guidance,immigration fee waiver eligibility policy,5,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
3,Directly addresses adjustment of status eligibility standards for Liberian nationals under the NDAA,adjustment of status eligibility rules,1,EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA
2,Substantively discusses discretionary factors and admissibility requirements in adjustment adjudications,adjustment of status eligibility rules,2,USCIS updates policy on applying discretion in adjudications
0,Asylum eligibility and communicable disease bars are unrelated to adjustment of status eligibility rules,adjustment of status eligibility rules,3,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility
3,Directly discusses admissibility and public charge standards affecting adjustment of status eligibility,adjustment of status eligibility rules,4,USCIS issues final rule on public charge inadmissibility grounds
0,HHS benefit eligibility litigation is unrelated to adjustment of status eligibility standards,adjustment of status eligibility rules,5,HHS issues notice excluding undocumented immigrants from additional federal benefits
2,Directly concerns reopening visa processing and reducing immigrant visa backlogs after travel bans,immigrant visa backlog policy updates,1,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
2,Substantively addresses clearing immigrant visa backlogs and reconsidering denied applications,immigrant visa backlog policy updates,2,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
2,Directly discusses resumption of immigrant visa processing and backlog adjudication planning,immigrant visa backlog policy updates,3,"POTUS issues EO 13780, extending travel ban and instructing agencies to enhance screening of certain foreign nationals"
1,Touches immigrant visa eligibility adjudication generally but not backlog processing specifically,immigrant visa backlog policy updates,4,USCIS updates policy on applying discretion in adjudications
1,Special immigrant visa biodata revisions are only tangentially related to immigrant visa backlog policy,immigrant visa backlog policy updates,5,"DOS proposes revisions to Form DS-234, Special Immigrant Visa Biodata"
0,Diversity Visa Lottery fee changes are unrelated to H-1B lottery selection rules,changes to H1B lottery selection process rule,1,DOS implements $1 fee for Diversity Visa Lottery
1,Mentions USCIS use of a lottery system for CHNV parole processing but not H-1B selection rules,changes to H1B lottery selection process rule,2,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,Asylum eligibility bars are unrelated to H-1B lottery selection procedures,changes to H1B lottery selection process rule,3,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility
1,Discusses H-2A petition processing rather than H-1B lottery selection mechanisms,changes to H1B lottery selection process rule,4,USCIS allows processing of H-2A petitions for unnamed beneficiaries prior to labor certification approval
0,Public charge inadmissibility guidance is unrelated to H-1B lottery selection policy,changes to H1B lottery selection process rule,5,USCIS issues final rule on public charge inadmissibility grounds
3,Directly updates USCIS policy guidance governing public charge inadmissibility determinations,USCIS public charge inadmissibility policy guidance updates,1,USCIS issues final rule on public charge inadmissibility grounds
1,Discusses discretionary adjudication guidance generally but not public charge policy specifically,USCIS public charge inadmissibility policy guidance updates,2,USCIS updates policy on applying discretion in adjudications
0,Guidance on derogatory information disclosure is unrelated to public charge inadmissibility policy,USCIS public charge inadmissibility policy guidance updates,3,USCIS issues guidance on derogatory information unknown to the benefit requestor
0,MPP non-refoulement screening procedures are unrelated to public charge inadmissibility guidance,USCIS public charge inadmissibility policy guidance updates,4,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
1,Mentions Medicaid and CHIP eligibility for children but not public charge inadmissibility standards,USCIS public charge inadmissibility policy guidance updates,5,ORR requires Director-level authorization of custodial releases of certain unaccompanied children
0,DACA healthcare eligibility and premium subsidies are unrelated to immigration premium processing expansion,changes to premium processing eligibility expansion,1,HHS issues final rule making DACA recipients ineligible for ACA health coverage
0,ORR post-release services policy is unrelated to premium processing eligibility expansion,changes to premium processing eligibility expansion,2,ORR requires Director-level authorization of custodial releases of certain unaccompanied children
0,HHS verification requirements for benefits programs are unrelated to premium processing eligibility expansion,changes to premium processing eligibility expansion,3,HHS issues notice excluding undocumented immigrants from additional federal benefits
0,Asylum eligibility regulatory changes are unrelated to premium processing expansion policy,changes to premium processing eligibility expansion,4,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility
0,J-1 visa form revisions are unrelated to premium processing eligibility expansion,changes to premium processing eligibility expansion,5,"DOS proposes revisions to Form DS-2019, Certificate of Eligibility for J-1 Status"
0,Credible fear interview timing is unrelated to consular shutdown and reopening timelines,consular processing shutdown and reopening policy timeline,1,Asylum seekers given less time to prepare for credible fear interviews
1,Discusses consular processing comparisons within parole termination policy but not shutdown timelines directly,consular processing shutdown and reopening policy timeline,2,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
2,Directly concerns resumption of refugee processing and restoration of processing operations after suspension,consular processing shutdown and reopening policy timeline,3,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.
0,MPP reopening authority guidance is unrelated to consular processing shutdown timelines,consular processing shutdown and reopening policy timeline,4,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
1,Touches immigrant visa processing procedures and refunds but not broader shutdown/reopening timelines,consular processing shutdown and reopening policy timeline,5,State Department issues final rule implementing Adoptive Family Relief Act
0,Travel ban screening and vetting policies are unrelated to visa bulletin retrogression explanations,visa bulletin retrogression policy explanation,1,"POTUS issues EO 13780, extending travel ban and instructing agencies to enhance screening of certain foreign nationals"
0,Visa restrictions for foreign officials are unrelated to visa bulletin retrogression policy,visa bulletin retrogression policy explanation,2,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration"""
0,Parole termination litigation is unrelated to visa bulletin retrogression explanations,visa bulletin retrogression policy explanation,3,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,Travel ban implementation and visa issuance guidance are unrelated to visa bulletin retrogression explanations,visa bulletin retrogression policy explanation,4,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
0,B-1 in lieu of H visa policy concerns nonimmigrant classifications rather than visa bulletin retrogression,visa bulletin retrogression policy explanation,5,"DOS proposes rule ending ""B-1 in lieu of H"" policy"
0,Deferred action biographic form revisions are unrelated to employment-based green card quotas,changes to employment based green card quotas,1,"USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)"
1,Employment authorization extensions affect some green card applicants but not employment-based quota levels,changes to employment based green card quotas,2,DHS Ends Automatic Extension of Employment Authorization Documents
1,Employment verification and E-Verify litigation relate to employment immigration broadly but not green card quotas,changes to employment based green card quotas,3,DOJ sues Illinois over "Right to Privacy in the Workplace Act" amendments
1,TPS termination may indirectly affect employment-based green card sponsorship but not quota policy,changes to employment based green card quotas,4,DHS terminates Temporary Protected Status for Honduras
2,Directly discusses numerical increases in H-2B visa allocations and employment-based visa availability,changes to employment based green card quotas,5,DOL proposes new collection form for employers seeking to employ H-2B nonimmigrant workers
3,Directly updates USCIS Policy Manual guidance governing discretionary adjustment of status adjudications,USCIS policy manual updates on adjustment of status,1,USCIS updates policy on applying discretion in adjudications
3,Directly incorporates public charge applicability guidance into the USCIS Policy Manual for adjustment applicants,USCIS policy manual updates on adjustment of status,2,USCIS issues final rule on public charge inadmissibility grounds
3,Directly changes adjustment of status medical examination vaccination requirements,USCIS policy manual updates on adjustment of status,3,USCIS waives COVID-19 vaccination requirement for Adjustment of Status applicants
2,Directly updates USCIS policy guidance on disclosure standards during immigration benefit adjudications,USCIS policy manual updates on adjustment of status,4,USCIS issues guidance on derogatory information unknown to the benefit requestor
0,Posthumous citizenship form updates are unrelated to adjustment of status policy manual guidance,USCIS policy manual updates on adjustment of status,5,"USCIS provides new edition of Form N-644, Application for Posthumous Citizenship"
0,NTA filing and scheduling guidance is unrelated to STEM OPT extension rules,changes to STEM OPT extension rules,1,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
0,TPS litigation and postponement orders are unrelated to STEM OPT extension policy,changes to STEM OPT extension rules,2,DHS terminates Temporary Protected Status for Honduras
0,"Unrelated to STEM OPT extensions; discusses undocumented immigrant eligibility and federal benefits verification requirements.","changes to STEM OPT extension rules",3,"HHS issues notice excluding undocumented immigrants from additional federal benefits"
1,"Public charge rules affect extensions of stay and change of status broadly, but not specifically STEM OPT extension policy.","changes to STEM OPT extension rules",4,"USCIS issues final rule on public charge inadmissibility grounds"
0,"EOIR attorney appearance form revisions are unrelated to STEM OPT extension rules.","changes to STEM OPT extension rules",5,"DOJ requests comments on Form EOIR-27, Notice of Entry of Appearance before BIA"
0,"Credible fear interview timing for asylum seekers is unrelated to marriage-based green card interviews.","policy changes affecting marriage based green card interviews",1,"Asylum seekers given less time to prepare for credible fear interviews"
0,"MPP asylum processing changes are unrelated to marriage-based green card interview policies.","policy changes affecting marriage based green card interviews",2,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
1,"Contains marriage-related biographic information requirements, but not policy changes about marriage-based interviews themselves.","policy changes affecting marriage based green card interviews",3,"USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)"
0,"Birthright citizenship EO discussion is unrelated to marriage-based green card interview policy.","policy changes affecting marriage based green card interviews",4,"Reports that President will attempt to void birthright citizenship for children of undocumented parents via Executive Order"
1,"TPS termination may indirectly affect green card pathways, but not marriage-based interview procedures.","policy changes affecting marriage based green card interviews",5,"DHS terminates Temporary Protected Status for Honduras"
2,"Directly discusses waiver eligibility, discretionary adjudication, and officer review processes relevant to I-601 adjudications.","changes to I-601 waiver adjudication standards",1,"USCIS updates policy on applying discretion in adjudications"
0,"Asylum standards for domestic violence claims are unrelated to I-601 waiver adjudication.","changes to I-601 waiver adjudication standards",2,"AG Bondi issues Matter of S-S-F-M-, restricting asylum claims based on domestic violence"
1,"Discusses waiver determinations in the travel ban context, but not I-601 adjudication standards specifically.","changes to I-601 waiver adjudication standards",3,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
1,"Public charge inadmissibility may intersect with waivers generally, but not specifically I-601 standards.","changes to I-601 waiver adjudication standards",4,"USCIS issues final rule on public charge inadmissibility grounds"
0,"ORR custodial release and background check policies are unrelated to I-601 waiver adjudication.","changes to I-601 waiver adjudication standards",5,"ORR requires Director-level authorization of custodial releases of certain unaccompanied children"
2,"Discusses CBP screening procedures and admissibility-related fear screening processes under MPP.","CBP inspection and admissibility policy changes",1,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
3,"Directly concerns CBP inspection, inadmissibility findings, advance parole validity, and expedited removal.","CBP inspection and admissibility policy changes",2,"DHS deports DACA recipient returning with advance parole"
2,"Public charge inadmissibility guidance directly affects admissibility policy, though not CBP inspections specifically.","CBP inspection and admissibility policy changes",3,"USCIS issues final rule on public charge inadmissibility grounds"
0,"ORR sponsor and background check policies are unrelated to CBP inspection and admissibility.","CBP inspection and admissibility policy changes",4,"ORR requires Director-level authorization of custodial releases of certain unaccompanied children"
1,"CHNV parole process changes affect admissions and parole broadly, but not CBP inspection standards directly.","CBP inspection and admissibility policy changes",5,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
1,"Discusses visa restrictions and illegal migration enforcement, but not visa overstay enforcement specifically.","changes to visa overstay enforcement policies",1,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration"""
1,"Discusses screening and vetting standards for immigration benefits, but not visa overstay enforcement directly.","changes to visa overstay enforcement policies",2,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,"MPP asylum and border processing changes are unrelated to visa overstay enforcement.","changes to visa overstay enforcement policies",3,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
1,"Travel ban entry restrictions relate to visas generally, but not visa overstay enforcement policy.","changes to visa overstay enforcement policies",4,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
0,"ORR custodial release policies are unrelated to visa overstay enforcement.","changes to visa overstay enforcement policies",5,"ORR requires Director-level authorization of custodial releases of certain unaccompanied children"
1,"Mentions administrative processing fees for nationality/passport matters, but not delays in consular processing policy.","administrative processing delays consular policy",1,"State Department issues final rule implementing Adoptive Family Relief Act"
2,"Discusses consular processing requirements and immigrant visa procedures relevant to administrative processing.","administrative processing delays consular policy",2,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
1,"Continuance guidance can indirectly affect immigration processing timelines, but not consular administrative processing specifically.","administrative processing delays consular policy",3,"EOIR Director issues guidance to restrict continuances"
0,"Visa restriction announcements are unrelated to administrative processing delays.","administrative processing delays consular policy",4,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration"""
0,"Refugee resettlement funding suspension is unrelated to consular administrative processing delays.","administrative processing delays consular policy",5,"State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S."
3,"Directly discusses Pereira stop-time rule and cancellation of removal eligibility.","changes to cancellation of removal eligibility standards",1,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
2,"Discusses adjustment eligibility while cancellation applications are pending; relevant but not centered on cancellation standards.","changes to cancellation of removal eligibility standards",2,"EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA"
1,"Asylum eligibility and public-health bars are only tangentially related to cancellation of removal standards.","changes to cancellation of removal eligibility standards",3,"EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility"
2,"Explicitly discusses continuances involving cancellation of removal applications and statutory caps.","changes to cancellation of removal eligibility standards",4,"EOIR Director issues guidance to restrict continuances"
0,"Federal benefits eligibility directives are unrelated to cancellation of removal standards.","changes to cancellation of removal eligibility standards",5,"HHS issues notice excluding undocumented immigrants from additional federal benefits"
3,"Directly discusses denial of administrative closure requests in immigration proceedings.","DHS policy on administrative closure immigration court",1,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
1,"MPP reinstatement affects removal proceedings broadly but not administrative closure policy specifically.","DHS policy on administrative closure immigration court",2,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
0,"Parole policy review memo is unrelated to immigration court administrative closure.","DHS policy on administrative closure immigration court",3,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,"Classified information handling guidance is unrelated to administrative closure policy.","DHS policy on administrative closure immigration court",4,"EOIR Acting Deputy Director issues guidance on the handling of classified information in EOIR proceedings"
0,"Public charge inadmissibility guidance is unrelated to administrative closure policy.","DHS policy on administrative closure immigration court",5,"USCIS issues final rule on public charge inadmissibility grounds"
3,"Directly references adjustment of status discretion under INA 245(a), including related waivers and procedures.","USCIS policy changes affecting adjustment of status under INA 245(a) and 245(k)",1,"USCIS updates policy on applying discretion in adjudications"
2,"Public charge inadmissibility guidance directly affects adjustment applicants under INA 245.","USCIS policy changes affecting adjustment of status under INA 245(a) and 245(k)",2,"USCIS issues final rule on public charge inadmissibility grounds"
3,"Directly discusses adjustment of status eligibility and procedures despite removal orders.","USCIS policy changes affecting adjustment of status under INA 245(a) and 245(k)",3,"EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA"
2,Directly changes adjustment of status medical examination requirements for applicants under INA 245,USCIS policy changes affecting adjustment of status under INA 245(a) and 245(k),4,"USCIS waives COVID-19 vaccination requirement for Adjustment of Status applicants"
1,Employment authorization extension policy affects some adjustment applicants but not INA 245 eligibility standards directly,USCIS policy changes affecting adjustment of status under INA 245(a) and 245(k),5,"DHS Ends Automatic Extension of Employment Authorization Documents"
1,Discusses visa processing resumption during COVID but not visa bulletin retrogression policy,evolution of visa bulletin movement and retrogression policy since 2015,1,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
0,Travel ban vetting and screening procedures are unrelated to visa bulletin movement or retrogression,evolution of visa bulletin movement and retrogression policy since 2015,2,"POTUS issues EO 13780, extending travel ban and instructing agencies to enhance screening of certain foreign nationals"
0,Visa restrictions for foreign officials are unrelated to visa bulletin retrogression policy,evolution of visa bulletin movement and retrogression policy since 2015,3,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration"""
2,Directly discusses visa availability timing and continuances based on visa priority dates,evolution of visa bulletin movement and retrogression policy since 2015,4,"EOIR Director issues guidance to restrict continuances"
0,Travel ban enforcement guidance is unrelated to visa bulletin movement or retrogression,evolution of visa bulletin movement and retrogression policy since 2015,5,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
3,Directly establishes and explains the public charge inadmissibility rule enforcement framework,litigation impacting public charge inadmissibility rule enforcement timeline,1,"USCIS issues final rule on public charge inadmissibility grounds"
1,Discusses court-ordered restoration of refugee processing rather than public charge litigation timelines,litigation impacting public charge inadmissibility rule enforcement timeline,2,"State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S."
1,Concerns litigation over federal benefits eligibility but not public charge inadmissibility enforcement specifically,litigation impacting public charge inadmissibility rule enforcement timeline,3,"HHS issues notice excluding undocumented immigrants from additional federal benefits"
0,Parole program termination guidance is unrelated to public charge litigation timelines,litigation impacting public charge inadmissibility rule enforcement timeline,4,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,Attorney sanctions memorandum is unrelated to public charge inadmissibility litigation,litigation impacting public charge inadmissibility rule enforcement timeline,5,"President issues memoranda targeting immigration lawyers with sanctions for alleged misconduct"
1,Discusses DHS coordination and COVID border processing logistics but not consular processing specifically,DHS and DOS coordination policies for consular processing during COVID,1,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
3,Directly discusses embassy and consular coordination for visa processing resumption during COVID,DHS and DOS coordination policies for consular processing during COVID,2,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
2,Directly discusses DHS and DOS coordination on screening and vetting procedures related to immigration processing,DHS and DOS coordination policies for consular processing during COVID,3,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
1,"Mentions DOS suspension of visa services and consular processing comparisons, but not direct DHS-DOS coordination policies for COVID consular processing.","DHS and DOS coordination policies for consular processing during COVID",4,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
