label,label_reason,query,rank,rrf_score,title,agencies_affected,subject_matter,full_chunk_text
,,CBP inspection and admissibility policy changes,3,0.030886,USCIS issues final rule on public charge inadmissibility grounds,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other""]","Additional information about the public charge ground of inadmissibility also remains available on the USCIS Public Charge Resources webpage. This guidance, contained in Volume 8 of the Policy Manual, is controlling and supersedes any related prior guidance on the topic. Policy Highlights • Incorporates information from the related appendices addressing applicability of the public charge ground of inadmissibility to help applicants for adjustment of status more easily identify the immigration categories to which the public charge ground of inadmissibility applies. Summary of Changes Affected Section: Volume 8 > Part G > Chapter 3 > Section B, Applicants for Adjustment of Status 1 The related appendices remain unchanged. To provide feedback on this update, email USCIS at policyfeedback@uscis.dhs.gov. PA-2023-20: Incorporating Guidance on Applicability of the Public Charge Ground of Inadmissibility Page: 2 • Revises section in its entirety, to include the addition of various tables listing the categories of adjustment of status applicants subject to the public charge ground of inadmissibility. USCIS may also make other minor technical, stylistic, and conforming changes consistent with this update. Citation Volume 8: Admissibility, Part G, Public Charge Ground of Inadmissibility, Chapter 3, Applicability [8 USCIS-PM G.3]."
,,CBP inspection and admissibility policy changes,4,0.030366,ORR requires Director-level authorization of custodial releases of certain unaccompanied children,"[""Office of Refugee Resettlement""]","[""Detention"", ""Interior"", ""Minors""]","1/17/16 - Summary of changes: - All individuals undergoing a public records check will also undergo a sex offender registry check. - All non-sponsor adult household members and adult care givers identified in a sponsor care plan will undergo a public records check and a sex offender registry check. - A revised Family Reunification Application will collect the date of birth of household members and contact and biographic information of adult care givers identified in the sponsor care plan. This information is needed to perform the public records check and sex offender registry check. 3/31/16 - Clarified home study policies. 4/11/16 — Clarification that table represents minimum standards. 6/7/18 - Updates with changes to background checks by DHS and fingerprint and background check requirements 12/18/18 - Revised criteria and table to reflect changes to fingerprint submission requirements for some household members. 6/18/19 - Added a brief description of the transmission process for background checks, including identification of Federal and state agencies involved in the process. Removed requirement of DHS immigration status checks and criminal history checks. Revised/added fingerprint check criteria for category 1, 2A, and 2B sponsors. Revised CA/N check criteria for category 3 sponsors. 2.5.2 Results of Background Checks on Release Decisions 1/27/15 6/7/18 - Added information sharing policy to results of background checks 6/18/19 - Revised information sharing policy for results of background checks."
,,CBP inspection and admissibility policy changes,5,0.030310,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","80. Per its data, CBP encountered at the southern border more than 600,000 nationals from Cuba, Haiti, Nicaragua, and Venezuela combined in fiscal year 2022—comprising more than forty percent of all migrants CBP encountered at the border that year. 81. The marked increase in the number of nationals of these four countries arriving at the southern border put considerable strain on CBP operations, causing it to divert resources and to provide sub-standard care to those migrants. 82. As with the Ukrainians coming to the southern border discussed above, many (if not most) of the Cubans, Haitians, Nicaraguans, and Venezuelans who came to the border during this period were paroled into the United States. 83. In October 2022, the Biden Administration created a parole process for Venezuelans. DHS, Implementation of a Parole Process for Venezuelans, 87 Fed. Reg. 63507 (Oct. 19, 2022). Approximately two months later, and in light of the success of the Venezuelan parole process, the Biden Administration expanded the parole process for Venezuelans, DHS, Implementation of Changes to the Parole Process for Venezuelans, 88 Fed. Reg. 1279 (Jan. 9, 2023); and created similar parole processes for nationals of Cuba, Haiti, and Nicaragua, DHS, Implementation of a Parole Process for Cubans, 88 Fed. Reg. 1266 (Jan. 9, 2023); DHS, Implementation of a Parole Process for Haitians, 88 Fed. Reg. 1243 (Jan. 9, 2023); DHS, Implementation of a Parole Process for Nicaraguans, 88 Fed. Reg. 1255 (Jan. 9, 2023)."
,,changes to visa overstay enforcement policies,1,0.031545,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration""","[""Bureau of Consular Affairs"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Unspecified/Other""]","Securing our nation’s borders is critically important to making America safer, stronger, and more prosperous. Countries along migratory routes must do their part to prevent and deter the transit of aliens seeking to illegally enter the United States. Today, I am announcing a new visa restriction policy that will apply to foreign government officials, including immigration and customs officials, airport and port authority officials, and others believed to be responsible for knowingly facilitating illegal immigration to the United States, including through failure to enforce immigration laws or establishing and implementing policies and practices that knowingly facilitate the transit of aliens intending to illegally immigrate into the United States via the U.S. southwest border. This new policy will complement our existing 3C policy, expanded in 2024, pertaining to private sector actors who knowingly provide transportation and travel services designed primarily for illegal aliens traveling to the United States. These measures will continue until those officials take responsibility for ensuring there are policies in place and existing laws are enforced to prevent the transit of such individuals. America will not back down when it comes to defending our national security interests. This visa restriction policy is pursuant to Section 212(a)(3)(C) of the Immigration and Nationality Act, which Home > O!ce of the Spokesperson > Press Releases > Announcement of a Visa Restriction Policy Targeting Foreign O""cials and Others Facilitating Illegal Migration into the United States PRESS STATEMENT MARCO RUBIO, SECRETARY OF STATE MARCH 5, 2025 Announcement of a Visa Restriction Policy Targeting Foreign Officials and Others Facilitating Illegal Migration into the United States An o""cial website of the United States Government Here's how you know      ✉ POLICY ISSUES COUNTRIES & AREAS BUREAUS & OFFICES ABOUT search Newsroom Business Employees Job Seekers Students Travelers Visas"
,,changes to visa overstay enforcement policies,2,0.031054,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","11, 2023); Implementation of Changes to the Haitian Family Reunification Parole Process, 88 FR 54635 (Aug. 11, 2023); Implementation of the Uniting for Ukraine Parole Process (Apr. 27, 2022). 2 For additional details on the fraud found in the CHNV parole process, see Interim Staff Report of the Committee on the Judiciary and Subcommittee on Immigration Integrity, Security, and Enforcement (November 20, 2024). 3 See, Securing Our Borders, Executive Order 14165, 90 FR 8467, 8468 (Jan. 20, 2025) available at (last viewed Jan. 28, 2025). Case 1:25-cv-10495-IT Document 41-3 Filed 03/21/25 Page 3 of 4 &KZK&&//>h^KE>z requiring DHS to identify all resources that may be used to ensure that all aliens seeking admission to the U.S., or who are already in the U.S., are screened and vetted to the maximum degree possible and re-establish a uniform baseline for screening and vetting standards and procedures, consistent with the uniform baseline that existed on January 19, 2021, that will be used for any alien seeking a visa or immigration benefit of any kind.4 Currently, fraud information and public safety or national security concerns are not being properly flagged in USCIS’ adjudicative systems. The procedures that the parolees under these categorical parole programs underwent may not constitute screening and vetting to the maximum degree possible or comport with the uniform baseline for screening and vetting standards and procedures that existed on January 19, 2021, both of which are required per EO 14161."
,,changes to visa overstay enforcement policies,3,0.030579,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols","[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]","Moreover, the Secretary has his own independent and significant concerns about the prior implementation of MPP, including concerns about the safety and security of those returned to Mexico, deficiencies in the non-refoulement interview process, barriers to access to counsel, and the ways in which reimplementation of MPP would divert from other Administration goals and result in significant burdens for the Department that would limit DHS’s opportunities to make other needed reforms consistent with this Administration’s policy priorities. In light of these concerns, the Secretary has decided not to resume MPP in precisely the same form as it previously existed, even if were a viable option. As an alternative, the Secretary considered a modified implementation and enforcement plan, in the manner that the Administration is planning to start doing in the coming weeks— pending an independent decision by the GOM to facilitate returns—in order to comply with the district court’s order. As the Department moves to reimplement, it is making changes to account for GOM’s concerns—changes which are designed to better protect individuals returned to Mexico and ensure, among other things, timely and accurate notice about court hearings. In addition, the Department is evaluating what changes could be made to address the issues raised in the Red Team Report, to include changes announced by the December 2020 supplementary guidance to better ensure family unity, access to counsel during non-refoulement interviews, and assessment of vulnerability."
,,changes to visa overstay enforcement policies,4,0.030018,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Bureau of Consular Affairs""]","[""Unspecified/Other""]","2. Scope and Implementation of Suspensions and Limitations. (a) Subject to the exceptions set forth in section 3(b) of Proclamation 9645, any waiver under section 3(c) of Proclamation 9645, and any enforcement provision of section 6(b) through (e) of Proclamation 9645, the suspensions of and limitations on entry pursuant to section 1(b) of this proclamation shall apply to foreign nationals of the designated countries who: (i) are outside the United States on the applicable ewective date of this proclamation; (ii) do not have a valid visa on the applicable ewective date of this proclamation; and (iii) do not qualify for a visa or other valid travel document under section 6(d) of Proclamation 9645. (b) The Secretary of State and the Secretary of Homeland Security shall coordinate to update guidance, if necessary, to implement this proclamation as to nationals of the six countries identified in section 1(b) of this proclamation, consistent with the provisions of this section. (c) For purposes of this proclamation, the phrase “Special Immigrants whose eligibility is based on having provided assistance to the United States Government” means those aliens described in section 101(a)(27)(D) through (G) and (K) of the INA, 8 U.S.C. 1101(a)(27)(D) through (G) and (K), any alien seeking to enter the United States pursuant to a Special Immigrant Visa in the SI or SQ classification, and any spouse and children of any such individual. Sec. 3. Reporting Requirements. (a) Section 4 of Proclamation 9645 is amended to read as follows: “Sec."
,,changes to visa overstay enforcement policies,5,0.029514,ORR requires Director-level authorization of custodial releases of certain unaccompanied children,"[""Office of Refugee Resettlement""]","[""Detention"", ""Interior"", ""Minors""]","Requests by the home study provider to extend beyond 10 calendar days or to cancel a home study must be submitted in writing to the ORR Federal Field Specialist for consideration. Amended the policy to require home study providers to conduct home studies in-person but, in the event of exceptional circumstances, permit ORR to approve virtual home studies. 3/28/23 — Reformatted ORR mandatory home study requirements into bullet points. Clarified in Footnote 6 that the ORR Director delegates final authority for approving discretionary home studies to ORR/FFS Supervisors who act as agents of HHS/ORR. Clarified that ORR/FFS act as agents of HHS/ORR to approve all release requests. 2.4.3 Additional Q&A on Topic 1/27/15 Not Applicable 2.5 ORR Policies on Requesting Background Checks of Sponsors 1/27/15 1/17/16 - Added the note that an Authorization for Release of Information is no longer required to perform either a public records check or sex offender registry check. 6/7/18 - Updated background check policies 12/18/18 - Added “when applicable” to fingerprint submission requirements to reflect changes to background check policies. 6/18/19 - Renamed section and revised wording to provide clarity. 2.5.1 Criteria for Background Checks 1/27/15 3/23/15 - Added requirement that all Category 3 sponsors must undergo Child Abuse and Neglect Checks. 1/17/16 - Summary of changes: - All individuals undergoing a public records check will also undergo a sex offender registry check. - All non-sponsor adult household members and adult care givers identified in a sponsor care plan will undergo a public records check and a sex offender registry check."
,,administrative processing delays consular policy,1,0.032522,State Department issues final rule implementing Adoptive Family Relief Act,"[""Unspecified/Other""]","[""Minors"", ""Unspecified/Other""]","214) and Peace Corps Volunteers and Leaders (22 U.S.C. 2504(h)) proceeding abroad or returning to the United States in the discharge of their official duties. NO FEE. (b) U.S. citizen seamen who require a passport in connection with their duties aboard an American flag vessel (22 U.S.C. 214(a)). NO FEE. (c) Widows, children, parents, or siblings of deceased members of the Armed Forces proceeding abroad to visit the graves of such members (22 U.S.C. 214(a)). NO FEE. (d) Employees of the American National Red Cross proceeding abroad as members of the Armed Forces of the United States (10 U.S.C. 2602(c)). NO FEE. 5. Travel Letter: Provided in rare, life-or-death situations as an emergency accommodation to a U.S. citizen returning to the United States when the consular officer is unable to issue a passport book. NO FEE unless consular time charges (Item 75) apply. 6. File search and verification of U.S. citizenship: When applicant has not presented evidence of citizenship and previous records must be searched (except for an applicant abroad whose passport was stolen or lost abroad or when one of the exemptions is applicable). $150. 7. Application for Consular Report of Birth Abroad of a Citizen of the United States ............................ $100. 8. Administrative Processing of Request for Certificate of Loss of Nationality ....................................... 2,350 9. Passport Card Application Services for: (a) Applicants age 16 or over (including renewals) [Adult Passport Card] ..............................."
,,administrative processing delays consular policy,2,0.031514,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","8 The Federal Register Notice stated that parolees may apply for re-parole, which would be adjudicated and may be approved on a case-by-case basis, by filing Form I-131 and “must demonstrate urgent humanitarian reasons or significant public benefit specific to his or her case and that he or she merits a favorable exercise of discretion for parole[.]” Termination of Family Reunification Parole Processes, 90 Fed. Reg. at 58043. Case 1:25-cv-10495-IT Document 258 Filed 01/25/26 Page 6 of 42 7 Id. The Federal Register Notice acknowledged further that the programs sought to promote family unity by providing a faster pathway for United States citizens and lawful permanent residents to reunite with family members while awaiting availability of their immigrant visas. Id. DHS acknowledged “that aliens paroled into the United States under the FRP programs may have been able to reunite with family members in the United States.” Id. DHS concluded, however, that “that national security and fraud concerns, and the current Administration’s priorities outweigh[ed] those interests” and supported termination. Id. As to national security, the Federal Register Notice compared the FRP Programs’ vetting process to that of individuals pursuing lawful permanent resident status through consular processing. Id. In the latter case, applicants’ consular processing requires “an in-person interview outside the United States, and submission of various documents to establish the necessary family relationship with the petitioner[,]” while still outside of the United States."
,,administrative processing delays consular policy,3,0.031025,EOIR Director issues guidance to restrict continuances,"[""Executive Office for Immigration Review""]","[""Unspecified/Other""]","• EOIR has no policy mandating or requiring Immigration Judges to grant a continuance for any reason in any particular case or circumstance, except where a continuance is required by binding law. See PM 20-07, Case Management and Docketing Practices at 5 (Jan. 31, 2020). EOIR management does not possess authority to direct the result of an adjudication by an Immigration Judge by directing the Judge to grant or deny a continuance request in specific cases. • Consistent with former OPPM 17-01, continuances based on requests made by the U.S. Department of Homeland Security (DHS) should be comparatively rare. o Consistent with OPPM 05-03, Background and Security Investigations in proceedings Before Immigration Judges and the Board of Immigration Appeals (Mar. 28, 2005) and PM 21-06, Asylum Processing (Dec. 4, 2020), a failure by DHS to report on the completion and results of relevant investigations and examinations does not require a continuance of the hearing, though Immigration Judges may not grant certain applications until the results of those investigations and examinations have been reported. 8 C.F.R. § 1003.47.2 o Consistent with PM 20-07, EOIR has no policy requiring an Immigration Judge to grant a continuance if a DHS attorney does not appear for a hearing or does not possess that agency’s administrative file at the hearing. • The general standard for a continuance is good cause, 8 C.F.R. § 1003.29. By statute, however, “[i]n the absence of exceptional circumstances, final administrative adjudication of [an] asylum application, not including administrative appeal, shall be completed within 180 days after the date an application is filed.” INA § 208(d)(5)(A)(iii)."
,,administrative processing delays consular policy,4,0.029911,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration""","[""Bureau of Consular Affairs"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Unspecified/Other""]","This visa restriction policy is pursuant to Section 212(a)(3)(C) of the Immigration and Nationality Act, which Home > O!ce of the Spokesperson > Press Releases > Announcement of a Visa Restriction Policy Targeting Foreign O""cials and Others Facilitating Illegal Migration into the United States PRESS STATEMENT MARCO RUBIO, SECRETARY OF STATE MARCH 5, 2025 Announcement of a Visa Restriction Policy Targeting Foreign Officials and Others Facilitating Illegal Migration into the United States An o""cial website of the United States Government Here's how you know      ✉ POLICY ISSUES COUNTRIES & AREAS BUREAUS & OFFICES ABOUT search Newsroom Business Employees Job Seekers Students Travelers Visas White House USA.govO!ce of the Inspector General ArchivesContact Us FOLLOW US Privacy Policy Accessibility Statement Copyright Information FOIA No FEAR Act      ✉ authorizes the Secretary of State to render inadmissible any alien whose entry into the Unites States “would have potentially serious adverse foreign policy consequences for the United States.” Certain family members may also be covered by these restrictions. Bureau of Consular A!airs O""ce of the Spokesperson The Secretary of State TAGS"
,,administrative processing delays consular policy,5,0.029631,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]","The Defunding of the USRAP, including the Termination Notices, the Suspension Notices, and the Sub Silentio Suspension, is arbitrary and capricious because Defendants failed to consider the relevant factors, articulate a rational connection between the facts found and the choices made, show there are good reasons for the change in policy, consider important aspects of the problem, including serious reliance interests, and consider reasonable alternatives within the ambit of the existing policy. The Sub Silentio Suspension is arbitrary and capricious for the additional reason that it is a sub silentio policy change. 248. The Defunding of the USRAP is also contrary to law because it is contrary to Congress’s statutory scheme governing refugee processing and admissions, refugee resettlement, and SIV resettlement, and Defendants have also failed to follow its own policies, procedures, and regulations. 249. The Defunding of the USRAP constitutes a legislative rule issued without observance of the notice and comment procedure required by 5 U.S.C. § 553. Case 2:25-cv-00255-JNW Document 56 Filed 03/05/25 Page 45 of 49 FIRST SUPPL. COMPL. FOR DECLARATORY & INJUNCTIVE RELIEF – 46 (No. 2:25-cv-255-JNW) Perkins Coie LLP 1201 Third Avenue, Suite 4900 Seattle, Washington 98101-3099 Phone: +1.206.359.8000 Fax: +1.206.359.9000 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 250. The Defunding of the USRAP must therefore be set aside pursuant to the Administrative Procedure Act."
,,changes to cancellation of removal eligibility standards,1,0.032522,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling","[""Customs and Border Protection"", ""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]","The respondent, therefore, maintains that she is not inadmissible as charged under section 212(a)(6)(A)(i) of the Act and that she is eligible for cancellation of removal, adjustment of status, and voluntary departure. We review these issues of jurisdiction, removability, and the respondent’s eligibility for the requested relief de novo. See 8 C.F.R. § 1003.1(d)(3)(ii) (2021). For the reasons set forth below, we affirm the Immigration Judge’s decision. II. DISCUSSION A. Jurisdiction We reject the respondent’s assertion that the Immigration Court lacked jurisdiction over her removal proceedings under Pereira because she was served with an NTA that did not include the time and place of her initial removal hearing. In Pereira, the Supreme Court emphasized the narrowness of its holding, which stated that “[a] putative notice to appear that fails to Cite as 28 I&N Dec. 388 (BIA 2021) Interim Decision #4028 390 designate the specific time or place of [a] noncitizen’s removal [hearing] is not a ‘notice to appear under [section 239(a) of the Act, 8 U.S.C. § 1229(a) (2018),]’ and so does not trigger the stop-time rule” for terminating a noncitizen’s continuous physical presence for purposes of cancellation of removal. Pereira, 138 S. Ct. at 2114–15 (quoting section 240A(d)(1) of the Act). We explained in Matter of Bermudez-Cota, 27 I&N Dec. 441, 443 (BIA 2018), that the “narrow” holding of Pereira specifically related to the “stop-time” rule, and we observed that “the Court did not purport to invalidate the [noncitizen’s] underlying removal proceedings or suggest that proceedings should be terminated.” We noted that while 8 C.F.R."
,,changes to cancellation of removal eligibility standards,2,0.032266,EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA,"[""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]","§ 761 l(i)(2). Thus, for aliens currently in proceedings who have other applications for status ( e.g. asylum, adjustment of status, cancellation of removal for certain nonpermanent residents, Temporary Protected Status) pending before an immigration judge, those cases should not be placed on a status docket, and immigration judges should proceed with adjudicating those applications unless the alien indicates that he or she no longer wishes to seek such status. For cases pending at the Board involving non-detained aliens currently in proceedings who: (1) have established prima facie eligibility for adjustment of status pursuant to NDAA § § 7611 (b )(1 )­ (3) and (c)(l)-(2); and (2) have submitted an application to DHS for such adjustment of status and provided proof of such submission, the Board will complete the record of appeal, including the receipt of briefs by the parties. The Board should proceed with the disposition of the appeal if the Board's decision will either: (1) terminate, or affirm the termination of, proceedings against the alien; or (2) grant, or affirm the grant of, relief! (except voluntary departure) or Temporary Matter ofYauri, 25 I&N Dec. 103, 107 & 110 (BIA 2009) (""We have long been of the view that administratively final exclusion, deportation, or removal proceedings should not be reopened for matters over which neither the Immigration Judge nor the Board has jurisdiction, and that referencing the absence of such jurisdiction was a rational basis in itself to decline to reopen proceedings ..."
,,changes to cancellation of removal eligibility standards,3,0.030214,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT""]","EOIR and USCIS issue final rule adding public health-related bars to asylum eligibility. The final rule implements three changes: - Expands the ""danger to the security of the United States"" bar to asylum eligibility to include public-health crises (""emergency public health concerns generated by a communicable disease""); - Provides for ""streamlining screening for potential eligibility for deferral of removal in the expedited removal process"" for noncitizens determined ineligible for asylum based on the third country transit rule; and - Authorizes DHS to place noncitizens found ineligible for asylum or withholding under the third country transit rule or under the ""danger to the security of the United States"" bar into asylum-and-withholding only proceedings, or to remove such individuals to a third country. The rule was signed by Chad Mizelle, Senior Official Performing the Duties of the General Counsel, on behalf of Acting Secretary Wolf, and by EOIR Director James McHenry. [ID #983]"
,,changes to cancellation of removal eligibility standards,4,0.029437,EOIR Director issues guidance to restrict continuances,"[""Executive Office for Immigration Review""]","[""Unspecified/Other""]",". .Given that Maldonado-Guzman’s right to be heard was not prejudiced by the denial of a continuance on removal proceedings, he has failed to establish a violation of the Due Process Clause.” (cleaned up)). • Category (2) status-docket cases generally warrant continuances until they can be resolved. See generally PM 19-13, Use of Status Dockets at (Aug. 16, 2019) at 2. o Cases in which an Immigration Judge intends to grant cancellation of removal for certain nonpermanent residents pursuant to INA § 240A(b), which are subject to an annual statutory cap of 4000, should be continued if the cap has been reached for the year and that application is the only one the alien has filed. 8 C.F.R. § 1240.21(c)(1); see also OPPM 17-04, Applications for Cancellation of Removal or Suspension of Deportation that are Subject to the Cap (Dec. 20, 2017). o Cases in which an alien otherwise prima facie eligible for adjustment of status before an Immigration Judge in the United States had an immediately-available visa at the time the adjustment of status application was filed with the immigration court but the visa category subsequently retrogressed by the time of the hearing, should be held in abeyance. Matter of Briones, 24 I&N Dec. 355, 357 n.3 (BIA 2007). 4The Board did not address visa availability—or the remoteness of such availability—in Matter of Sanchez Sosa, as it appears that the annual statutory cap on U visas had not been reached at the time the decision was issued. 5 • By statute, “[i]n order that an alien be permitted the opportunity to secure counsel before the first hearing date in proceedings under section 240 of the Act, the hearing date shall not be scheduled earlier than 10 days after the service of the notice to appear, unless the alien requests in writing an earlier hearing date.” INA § 239(b)(1)."
,,changes to cancellation of removal eligibility standards,5,0.029324,HHS issues notice excluding undocumented immigrants from additional federal benefits,"[""Unspecified/Other""]","[""Unspecified/Other""]","467. The Head Start Act directs that “[t]he Secretary shall by regulation prescribe eligibility for the participation of persons in Head Start programs assisted under this subchapter” and enumerates certain requirements for the “Criteria for eligibility,” 42 U.S.C. § 9840(a)(1)(A). The Immigrant Exclusion Directive changes the criteria for eligibility but failed to do so “by regulation” as required by the Head Start Act. 468. Although the Immigrant Exclusion Directive modifies the eligibility criteria without enacting a regulation, it nonetheless is a “rule” that “effects ‘a substantive regulatory change’ to the statutory or regulatory regime.” Elec. Priv. Info. Ctr. v. U.S. Dep’t of Homeland Sec., 653 F.3d 1, 6–7 (D.C. Cir. 2011) (quoting U.S. Telecom Ass’n v. F.C.C., 400 F.3d 29, 34– 40 (D.C. Cir. 2005)). The Immigrant Exclusion Directive imposes new legal obligations on Plaintiffs that appear on their faces to be binding. “It commands, it requires, it orders, it dictates.” Appalachian Power Co. v. E.P.A., 208 F.3d 1015, 1023 (D.C. Cir. 2000). 469. Defendants do not meet the “good cause” exception, 5 U.S.C. 553(b)(4)(B), which is to be “narrowly construed and only reluctantly countenanced.” East Bay Sanctuary Covenant v. Trump, 909 F.3d 1219, 1253 (9th Cir. 2018) (quotation marks and internal citation omitted). “[N]otice and public procedure” are not “impracticable, unnecessary, or contrary to the public interest.” 5 U.S.C. 553(b)(4)(B). 470. The Head Start Act also requires that “[a]t least 30 days prior to their effective date, all rules, regulations, and application forms shall be published in the Federal Register and shall be sent to each grantee with the notification that each such grantee has the right to submit comments pertaining thereto to the Secretary prior to the final adoption thereof."
,,DHS policy on administrative closure immigration court,1,0.032787,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling","[""Customs and Border Protection"", ""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]","The appeal will be dismissed and the motion to terminate will be denied. The respondent is a native and citizen of Mexico who arrived in the United States on or about April 30, 1991, without being admitted or paroled. On August 28, 2013, the respondent was personally served with a notice to appear, which ordered him “to appear before an immigration judge of the United States Department of Justice . . . on a date to be set at a time to be set.” The respondent conceded in written pleadings that he was properly served with the August 28, 2013, notice to appear. On September 9, 2013, the Tucson, Arizona, Immigration Court mailed a notice of hearing to the address the respondent had provided to immigration authorities. This notice provided that the respondent’s hearing was scheduled to take place on May 13, 2014, at 1:00 p.m. at 300 West Congress Street, Suite 300, Tucson, Arizona, 85701. The respondent appeared at this and numerous subsequent hearings. Cite as 27 I&N Dec. 441 (BIA 2018) Interim Decision #3935 442 At his last hearing on October 3, 2017, the respondent sought a continuance or administrative closure based on his potential eligibility for adjustment of status. The Immigration Judge denied his requests for a continuance and administrative closure. However, he granted the respondent voluntary departure. The respondent timely appealed from this decision and filed a motion to terminate while his appeal was pending. We will address his motion first. The respondent argues that his proceedings should be terminated in light of the Supreme Court’s recent decision in Pereira v."
,,DHS policy on administrative closure immigration court,2,0.030622,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols","[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]","U.S. Department of Homeland Security Last Updated: 01/21/2025 DHS Reinstates Migrant Protection Protocols, Allowing Officials to Return Applicants to Neighboring Countries Release Date: January 21, 2025 WASHINGTON – The Department of Homeland Security (DHS) Acting Secretary Benjamine Huffman reinstated the Migrant Protection Protocols (MPP) effective immediately. On January 25, 2019, Department of Homeland Security (DHS) Secretary Kirstjen Nielsen issued Policy Guidance for Implementation of the Migrant Protection Protocols (the MPP Policy). The MPP Policy is an exercise of the authority granted to DHS pursuant to Section 235(b)(2)(c) of the Immigration and Nationality Act (INA). That authority permits the Secretary of DHS to return certain applicants for admission to the adjoining country from which they are arriving pending the completion of removal proceedings pursuant to Section 240 of the INA. Between Jan. 20, 2021, and Oct. 29, 2021, Acting Secretary David Pekoske, and later Secretary Alejandro Mayorkas, repeatedly attempted to suspend or terminate the MPP Policy. Following a series of legal actions, Secretary Mayorkas’s final attempt to terminate the MPP Policy was stayed by a federal court. See Order Granting Stay, Texas v. Biden, 2:21-cv-67 (N.D. Tex. Dec. 15, 2022). The Department of Justice, seven months after that stay was entered, voluntarily dismissed the federal government’s appeal, acquiescing to keeping the MPP Policy in effect for the foreseeable future. See Texas v."
,,DHS policy on administrative closure immigration court,3,0.030536,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","§ 1182(d)(5); c. Formulate a plan for phasing out any such instructions, policies, procedures, rules, and regulations, accompanied by a proposal and timeline for any necessary public notices to be published pursuant to the terms of the Administrative Procedure Act or any other applicable law; d. Provide the Secretary of DHS with a report summarizing the results of the following reviews and inquiries. (2) Pending the review contemplated by paragraph (1), DHS Components have discretion to pause, modify, or terminate any parole program described in paragraph (1) to the extent: a. The policy was not promulgated pursuant to the procedural requirements of the Administrative Procedure Act or any comparable scheme; b. The DHS Component can do so in a manner that protects any legitimate reliance interests; and c. Doing so is otherwise consistent with applicable statutes, regulations, and court orders. The purpose of this memorandum is to ensure that all future actions taken by DHS with regard to the exercise of the parole authority are consistent with law and within the scope of DHS's authority ..Having said that, should any court disagree with the interpretation of the parole statute articulated in this memorandum, I clarify that 1 am also implementing this policy as a matter of my discretion to deny parole in any circumstance. Case 1:25-cv-10495-IT Document 41-1 Filed 03/21/25 Page 3 of 3"
