label,label_reason,query,rank,rrf_score,title,agencies_affected,subject_matter,full_chunk_text
,,adjustment of status eligibility rules,2,0.032258,USCIS updates policy on applying discretion in adjudications,[],[],"[^ 60] For definitions of public safety and national security concerns, see Updated Guidance for the Referral of Cases and Issuance of Notices to Appear (NTAs) in Cases Involving Inadmissible and Deportable Aliens (PDF), PM-602-0050.1, issued June 28, 2018. [^ 61] The oﬀicer should not go behind the record of conviction to reassess an alien’s ultimate guilt or innocence, but rather inquire into the circumstances surrounding the commission of the crime in order to determine whether a favorable exercise of discretion is warranted. See Matter of Edwards (PDF), 20 I&N Dec. 191, 197 (BIA 1990). [^ 62] USCIS considers findings of juvenile delinquency on a case-by-case basis, based on the totality of the evidence, to determine whether a favorable exercise of discretion is warranted. Therefore, an adjustment applicant must disclose all arrests and charges. If any arrest or charge was disposed of as a matter of juvenile delinquency, the applicant must include the court or other public record that establishes this disposition. See Volume 7, Adjustment of Status, Part A, Adjustment of Status Policies and Procedures, Chapter 4, Documentation, Section A, Initial Evidence, Subsection 7, Certified Copies of Arrest Records and Court Dispositions [7 USCIS-PM A.4(A)(7)]. For more information, see Volume 7, Adjustment of Status, Part B, 245(a) Adjustment [7 USCIS-PM B] and Part F, Special Immigrant-Based (EB-4) Adjustment, Chapter 7, Special Immigrant Juveniles, Section C, Eligibility Requirements, Subsection 4, Admissibility and Waiver Requirements [7 USCIS-PM F.7(C)(4)]."
,,adjustment of status eligibility rules,3,0.030798,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT""]","6/14/2021 https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1615-AC69&operation=OPERATION_PRINT_RULE https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1615-AC69&operation=OPERATION_PRINT_RULE 1/1 RIN Data DHS/USCIS RIN: 1615-AC69 Publication ID: Spring 2021 Title: ●Bars to Asylum Eligibility and Procedures Abstract: In 2020, the Department of Homeland Security and Department of Justice (collectively, the Departments) published final rules amending their respective regulations governing bars to asylum eligibility and procedures, including the Procedures for Asylum and Bars to Asylum Eligibility, (RINs 1125-AA87 and 1116-AC41), 85 FR 67202 (Oct. 21, 2020), Asylum Eligibility and Procedural Modifications, (RINs 1125-AA91 and 1615AC44), 85 FR 82260 (Dec. 17, 2020) and Security Bars and Processing, (RINs 1125-AB08 and 1615-AC57), 85 FR 84160, (Dec. 23, 2020) final rules. The Departments propose to modify or rescind the regulatory changes promulgated in these three final rules consistent with Executive Order 14010 (Feb. 2, 2021). Agency: Department of Homeland Security(DHS) Priority: Other Significant RIN Status: First time published in the Unified Agenda Agenda Stage of Rulemaking: Proposed Rule Stage Major: Undetermined Unfunded Mandates: No CFR Citation: 8 CFR 208 8 CFR 235 8 CFR 1003 8 CFR 1208 8 CFR 1235 Legal Authority: Homeland Security Act of 2002, Pub. L. 107-296, 116 Stat. 2135, sec. 1102, as amended 8 U.S.C. 1103(a)(1) 8 U.S.C. 1103(a)(3) 8 U.S.C."
,,adjustment of status eligibility rules,4,0.030579,USCIS issues final rule on public charge inadmissibility grounds,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other""]","51114 Federal Register / Vol. 83, No. 196 / Wednesday, October 10, 2018 / Proposed Rules DEPARTMENT OF HOMELAND SECURITY 8 CFR Parts 103, 212, 213, 214, 245 and 248 [CIS No. 2499–10; DHS Docket No. USCIS– 2010–0012] RIN 1615–AA22 Inadmissibility on Public Charge Grounds AGENCY: U.S. Citizenship and Immigration Services, DHS. ACTION: Notice of proposed rulemaking. SUMMARY: The U.S. Department of Homeland Security (DHS) proposes to prescribe how it determines whether an alien is inadmissible to the United States under section 212(a)(4) of the Immigration and Nationality Act (INA) because he or she is likely at any time to become a public charge. Aliens who seek adjustment of status or a visa, or who are applicants for admission, must establish that they are not likely at any time to become a public charge, unless Congress has expressly exempted them from this ground of inadmissibility or has otherwise permitted them to seek a waiver of inadmissibility. Moreover, DHS proposes to require all aliens seeking an extension of stay or change of status to demonstrate that they have not received, are not currently receiving, nor are likely to receive, public benefits as defined in the proposed rule. DHS proposes to define ‘‘public charge’’ as the term is used in sections 212(a)(4) of the Act. DHS also proposes to define the types of public benefits that are considered in public charge inadmissibility determinations. DHS would consider an alien’s receipt of public benefits when such receipt is above the applicable threshold(s) proposed by DHS, either in terms of dollar value or duration of receipt."
,,adjustment of status eligibility rules,5,0.030303,HHS issues notice excluding undocumented immigrants from additional federal benefits,"[""Unspecified/Other""]","[""Unspecified/Other""]","175. “[T]he critical feature of interpretive rules is that they are issued by an agency to advise the public of the agency’s construction of the statutes and rules which it administers. The absence of a notice-and-comment obligation makes the process of issuing interpretive rules comparatively easier for agencies than issuing legislative rules. But that convenience comes at a price: Interpretive rules do not have the force and effect of law and are not accorded that weight in the adjudicatory process.” Perez v. Mortg. Bankers Ass’n, 575 U.S. 92, 96–97 (2015). 176. By contrast, “a substantive rule” is “one affecting individual rights and obligations” such that it “may be binding or have the force of law.” Chrysler Corp. v. Brown, 441 U.S. 281, 302 (1979) (internal quotation omitted). And “a rule which ‘effect[s] a change in existing law or policy’ Case 1:25-cv-00345 Document 1 Filed 07/21/25 Page 36 of 50 PageID #: 36 37 is legislative.” Nat’l Fam. Plan. & Reprod. Health Ass’n, Inc. v. Sullivan, 979 F.2d 227, 237 (D.C. Cir. 1992) (quoting Powderly v. Schweiker, 704 F.2d 1092, 1098 (9th Cir. 1983)). 177. These PRWORA Notices fundamentally change eligibility requirements for federally funded programs providing services to millions of residents of Plaintiff States. Indeed, Defendant HHS admits not only that it is reversing its prior eligibility guidelines, but that the effect of the Notice will be “that numerous unqualified aliens will no longer receive benefits under Federally funded programs.” And HHS concedes that the Notice “may result in an annual effect on the economy of $100 million or more,” making it a “major rule” under 5 U.S.C."
,,immigrant visa backlog policy updates,1,0.032522,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban","[""Bureau of Consular Affairs""]","[""Visitor"", ""Unspecified/Other""]","2. Resumption of Visa Processing and Clearing the Backlog of Cases in Waiver Processing. (a) The Secretary of State shall direct all Embassies and Consulates, consistent with applicable law and visa processing procedures, including any related to coronavirus disease 2019 (COVID-19), to resume visa processing in a manner consistent with the revocation of the Executive Order and Proclamations speciﬁed in section 1 of this proclamation. (b) Within 45 days of the date of this proclamation, the Secretary of State shall provide to the President a report that includes the following elements: (i) The number of visa applicants who were being considered for a waiver of restrictions under Proclamation 9645 or 9983 on the date of this proclamation and a plan for expeditiously adjudicating their pending visa applications. (ii) A proposal to ensure that individuals whose immigrant visa applications were denied on the basis of the suspension and restriction on entry imposed by Proclamation 9645 or 9983 may have their applications reconsidered. This proposal shall consider whether to reopen immigrant visa applications that were denied due to the suspension and restriction on entry imposed by Proclamation 9645 or 9983, whether it is necessary to charge an additional fee to process those visa applications, and development of a plan for the Department of State to expedite consideration of those visa applications. (iii) A plan to ensure that visa applicants are not prejudiced as a result of a previous visa denial due to the suspension and restriction on entry imposed by Proclamation 9645 or 9983 if they choose to re-apply for a visa."
,,immigrant visa backlog policy updates,2,0.032002,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Bureau of Consular Affairs""]","[""Unspecified/Other""]","2. Resumption of Visa Processing and Clearing the Backlog of Cases in Waiver Processing. (a) The Secretary of State shall direct all Embassies and Consulates, consistent with applicable law and visa processing procedures, including any related to coronavirus disease 2019 (COVID-19), to resume visa processing in a manner consistent with the revocation of the Executive Order and Proclamations speciﬁed in section 1 of this proclamation. (b) Within 45 days of the date of this proclamation, the Secretary of State shall provide to the President a report that includes the following elements: (i) The number of visa applicants who were being considered for a waiver of restrictions under Proclamation 9645 or 9983 on the date of this proclamation and a plan for expeditiously adjudicating their pending visa applications. (ii) A proposal to ensure that individuals whose immigrant visa applications were denied on the basis of the suspension and restriction on entry imposed by Proclamation 9645 or 9983 may have their applications reconsidered. This proposal shall consider whether to reopen immigrant visa applications that were denied due to the suspension and restriction on entry imposed by Proclamation 9645 or 9983, whether it is necessary to charge an additional fee to process those visa applications, and development of a plan for the Department of State to expedite consideration of those visa applications. (iii) A plan to ensure that visa applicants are not prejudiced as a result of a previous visa denial due to the suspension and restriction on entry imposed by Proclamation 9645 or 9983 if they choose to re-apply for a visa."
,,immigrant visa backlog policy updates,3,0.031498,"POTUS issues EO 13780, extending travel ban and instructing agencies to enhance screening of certain foreign nationals","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Bureau of Consular Affairs""]","[""Unspecified/Other""]","2. Resumption of Visa Processing and Clearing the Backlog of Cases in Waiver Processing. (a) The Secretary of State shall direct all Embassies and Consulates, consistent with applicable law and visa processing procedures, including any related to coronavirus disease 2019 (COVID-19), to resume visa processing in a manner consistent with the revocation of the Executive Order and Proclamations speciﬁed in section 1 of this proclamation. (b) Within 45 days of the date of this proclamation, the Secretary of State shall provide to the President a report that includes the following elements: (i) The number of visa applicants who were being considered for a waiver of restrictions under Proclamation 9645 or 9983 on the date of this proclamation and a plan for expeditiously adjudicating their pending visa applications. (ii) A proposal to ensure that individuals whose immigrant visa applications were denied on the basis of the suspension and restriction on entry imposed by Proclamation 9645 or 9983 may have their applications reconsidered. This proposal shall consider whether to reopen immigrant visa applications that were denied due to the suspension and restriction on entry imposed by Proclamation 9645 or 9983, whether it is necessary to charge an additional fee to process those visa applications, and development of a plan for the Department of State to expedite consideration of those visa applications. (iii) A plan to ensure that visa applicants are not prejudiced as a result of a previous visa denial due to the suspension and restriction on entry imposed by Proclamation 9645 or 9983 if they choose to re-apply for a visa."
,,immigrant visa backlog policy updates,4,0.030077,USCIS updates policy on applying discretion in adjudications,[],[],"Where denying the benefit request is appropriate, the oﬀicer should generally include in the denial letter his or her determination on all eligibility requirements, including but not limited to discretionary grounds, if applicable, so that the reasons for the ultimate denial are clearly reflected in the record. Lack of Negative Factors A person’s threshold eligibility for the benefit sought is generally also a positive factor. Therefore, absent any negative factors, USCIS ordinarily exercises discretion positively. Generally, if there are no negative factors to weigh against that positive factor, denial of the benefit would be an inappropriate use of discretion. C. Adjudicating Discretionary Benefits When adjudicating a discretionary benefit, the oﬀicer should first determine whether the requestor meets all threshold eligibility requirements. For example, in adjudicating an application for adjustment of status under INA 245(a), the oﬀicer should first determine: Whether the applicant was inspected and admitted or paroled or has an approved petition as a VAWA self-petitioner; [38] [39] [40] [41] [42] Chapter 8 - Discretionary Analysis | USCIS https://www.uscis.gov/policy-manual/volume-1-part-e-chapter-8 5 of 18 11/13/20, 11:20 AM Is eligible to receive an immigrant visa; Is admissible to the United States for permanent residence; and Has an immigrant visa immediately available to him or her at the time he or she files the adjustment application. If the oﬀicer finds that the requestor does not meet the eligibility requirements but may be eligible for a waiver, exemption, or other form of relief, the oﬀicer should determine whether the requestor qualifies for a waiver, exemption, or other form of relief."
,,immigrant visa backlog policy updates,5,0.028778,"DOS proposes revisions to Form DS-234, Special Immigrant Visa Biodata","[""Unspecified/Other""]","[""Special Immigrant""]","DOS announces proposed revisions to Form DS-234, Special Immigrant Visa Biodata Form and provides a 60-day comment period ending on July 29, 2025. Form DS–234 elicits information used to determine the eligibility of certain Iraqis and Afghan SIV recipients for refugee resettlement benefits. [Trump 2.0 ID #]"
,,changes to H1B lottery selection process rule,1,0.031778,DOS implements $1 fee for Diversity Visa Lottery,"[""Bureau of Consular Affairs"", ""Unspecified/Other""]","[""Diversity""]","The Department of State (DOS) issued a final rule establishing a $1 fee to enter the Diversity Visa Lottery. Previously, there was no cost. The new fee will take effect on October 16, 2025, and will be payable at registration. The $1 fee is in addition to a $330 application fee paid by lottery winners who apply for a Diversity Visa. DOS predicts that the new fee will bring in $25 million annually. Trump 2.0 [#1988]"
,,changes to H1B lottery selection process rule,2,0.031054,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","The Putative Class Representatives seek certification of a class (the “Plaintiff Class”) consisting of: a) All individuals with pending applications to sponsor a beneficiary for any humanitarian parole process, including but not limited to CHNV, U4U, FRP, OAW, and CAM, which applications are subject to the January 20 Huffman memo and subsequent actions by Defendants to pause or otherwise terminate the processing of such applications (the “Sponsor Subclass”); b) All individuals who have received humanitarian parole through the CHNV, U4U, FRP, and OAW parole processes with any pending applications for any additional immigration benefit, which applications are subject to the “administrative hold” set out in the February 14 Davidson memorandum, the January Higgins Directive, and Case 1:25-cv-10495 Document 1 Filed 02/28/25 Page 53 of 65 54 other subsequent actions by Defendants to pause or otherwise terminate the processing of such applications (the “Immigration Benefits Subclass”). 202. This action meets all of the Rule 23(a) prerequisites for maintaining a class action. 203. The Plaintiff Class is so numerous that joinder is impracticable, satisfying Rule 23(a)(1). The demand for to sponsor beneficiaries through the U4U and CHNV parole processes has been high; USCIS received over 120,000 sponsorship applications for U4U, and more than 1.5 million sponsorship applications for CHNV parole, in just the first four or five months that the processes were made available. Although U4U has no monthly cap on the number of applications that can be granted, only a maximum of 30,000 CHNV applications can be granted each month, which is why USCIS eventually adopted a lottery system to process some CHNV applications, rather than processing them all on a first-come-first-served basis."
,,changes to H1B lottery selection process rule,3,0.031025,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT""]","EOIR and USCIS issue final rule adding public health-related bars to asylum eligibility. The final rule implements three changes: - Expands the ""danger to the security of the United States"" bar to asylum eligibility to include public-health crises (""emergency public health concerns generated by a communicable disease""); - Provides for ""streamlining screening for potential eligibility for deferral of removal in the expedited removal process"" for noncitizens determined ineligible for asylum based on the third country transit rule; and - Authorizes DHS to place noncitizens found ineligible for asylum or withholding under the third country transit rule or under the ""danger to the security of the United States"" bar into asylum-and-withholding only proceedings, or to remove such individuals to a third country. The rule was signed by Chad Mizelle, Senior Official Performing the Duties of the General Counsel, on behalf of Acting Secretary Wolf, and by EOIR Director James McHenry. [ID #983]"
